Layer[0],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416882,0.778784,0.001344,0.015200,0.000640,0.001472,0.000960,0.000576,1.226068
0.415921,0.789601,0.000928,0.014561,0.000384,0.001568,0.001152,0.000352,1.233779
0.421233,0.765248,0.000992,0.014304,0.000352,0.001600,0.000896,0.000609,1.213011
0.416594,0.753439,0.001249,0.015456,0.000608,0.001568,0.000832,0.000576,1.197810
0.436306,0.749664,0.001152,0.014400,0.000608,0.001536,0.000928,0.000416,1.212595
0.415282,0.751071,0.000768,0.014689,0.000352,0.001600,0.001024,0.000576,1.192434
0.419857,0.778465,0.001024,0.014433,0.000608,0.001536,0.001024,0.000800,1.225043
0.415313,0.785473,0.001152,0.014657,0.000352,0.001600,0.000960,0.000384,1.227091
0.420529,0.790562,0.000992,0.015040,0.000640,0.001600,0.001024,0.000384,1.238196
0.420081,0.776897,0.001056,0.014401,0.000608,0.001600,0.001024,0.000352,1.223347
0.420401,0.765024,0.001280,0.014560,0.000608,0.001568,0.000896,0.000384,1.212786
0.420210,0.796705,0.000896,0.015297,0.000608,0.001472,0.000992,0.000352,1.244916
0.435474,0.756128,0.000864,0.014529,0.000608,0.001568,0.001024,0.000416,1.217971
0.420786,0.754175,0.000801,0.014304,0.000352,0.001568,0.000992,0.000416,1.200658
0.421297,0.803714,0.000896,0.014433,0.000384,0.001536,0.001024,0.000608,1.251860
0.420690,0.788577,0.000768,0.014977,0.000352,0.001504,0.000992,0.000352,1.235284
0.420817,0.765472,0.000897,0.014400,0.000352,0.001568,0.001056,0.000576,1.212754
0.415858,0.783040,0.000800,0.014848,0.000608,0.001536,0.001120,0.000608,1.225587
0.415857,0.766496,0.000896,0.014464,0.000640,0.001632,0.001088,0.000384,1.208307
0.419858,0.763968,0.000768,0.014496,0.000352,0.001569,0.000960,0.000384,1.209331
0.420050,0.794465,0.000928,0.014273,0.000352,0.001568,0.000960,0.000352,1.240308
0.420434,0.767520,0.000896,0.014689,0.000352,0.001536,0.000928,0.000576,1.215091
0.419985,0.746943,0.000864,0.014657,0.000640,0.001536,0.000896,0.000320,1.192978
0.440018,0.749567,0.001184,0.015393,0.000448,0.001952,0.001024,0.000640,1.217555
0.419985,0.744063,0.000800,0.014785,0.000448,0.001504,0.000960,0.000416,1.190033
0.416146,0.804162,0.001152,0.015264,0.000416,0.001504,0.000897,0.000576,1.247061
0.420177,0.759903,0.001024,0.014305,0.000608,0.001504,0.000960,0.000576,1.206482
0.420018,0.752159,0.000704,0.014369,0.000416,0.001472,0.000992,0.000384,1.197522
0.437715,0.891909,0.001216,0.014465,0.000384,0.001536,0.000928,0.000384,1.355833
0.416882,0.750399,0.001056,0.014529,0.000576,0.001440,0.000960,0.000384,1.193394
0.421298,0.791617,0.001152,0.014657,0.000576,0.001568,0.001088,0.000576,1.240404
0.420818,0.788897,0.001056,0.014753,0.000352,0.001408,0.000864,0.000384,1.236948
0.421202,0.768832,0.000864,0.014497,0.000320,0.001536,0.001120,0.000384,1.216691
0.418482,0.767904,0.000864,0.014465,0.000320,0.001440,0.001056,0.000384,1.212563
0.436722,0.817347,0.001120,0.015040,0.000640,0.001505,0.001056,0.000384,1.281814
0.420786,0.767968,0.000832,0.014017,0.000352,0.001504,0.000928,0.000384,1.215027
0.423058,0.792929,0.000960,0.014657,0.000608,0.001536,0.001024,0.000384,1.243316
0.420402,0.765376,0.000832,0.014305,0.000576,0.001536,0.000896,0.000352,1.211699
0.421650,0.765760,0.000928,0.014432,0.000352,0.001473,0.001152,0.000352,1.213651
0.421330,0.793025,0.000896,0.014401,0.000416,0.001536,0.001280,0.000384,1.242132
0.421202,0.756959,0.000736,0.014592,0.000384,0.001536,0.001504,0.000544,1.205650
0.420434,0.755008,0.001024,0.014944,0.000384,0.001472,0.001216,0.000352,1.202643
0.433682,0.772512,0.000896,0.014369,0.000384,0.001504,0.001248,0.000416,1.232372
0.422129,0.783233,0.000832,0.014817,0.000384,0.001472,0.001280,0.000448,1.232339
0.423250,0.758975,0.000864,0.015072,0.000352,0.001632,0.001184,0.000352,1.208978
0.420850,0.768736,0.000896,0.014305,0.000352,0.001440,0.001504,0.000352,1.215251
0.417330,0.779264,0.000704,0.014209,0.000416,0.001472,0.000960,0.000608,1.221683
0.420530,0.768128,0.000896,0.014465,0.000320,0.001536,0.000896,0.000352,1.214387
0.420722,0.764992,0.000704,0.014113,0.000416,0.002016,0.001056,0.000384,1.211923
0.416818,0.756159,0.000960,0.014368,0.000384,0.002496,0.001088,0.000384,1.200850
0.421489,0.798433,0.000832,0.014497,0.000384,0.001632,0.001152,0.000608,1.247508
0.420498,0.764640,0.000800,0.014529,0.000608,0.001504,0.000992,0.000352,1.211379
0.416594,0.785664,0.001216,0.014496,0.000640,0.001920,0.001088,0.000352,1.229043
0.436690,0.770016,0.000736,0.014529,0.000384,0.001536,0.000992,0.000384,1.231987
0.421682,0.768672,0.000800,0.014369,0.000384,0.001568,0.001056,0.000352,1.215923
0.421842,0.782624,0.001248,0.015329,0.000608,0.001536,0.000864,0.000416,1.231667
0.415474,0.791521,0.000864,0.014433,0.000384,0.001504,0.000992,0.000448,1.232948
0.420850,0.762720,0.000800,0.014432,0.000384,0.001440,0.001056,0.000384,1.209139
0.420401,0.767840,0.000832,0.014304,0.000384,0.001536,0.000992,0.000384,1.213587
0.421202,0.763424,0.001088,0.014913,0.000384,0.001472,0.001024,0.000416,1.211923
0.421010,0.759584,0.001280,0.014401,0.000416,0.001504,0.001088,0.000384,1.207955
0.421522,0.766688,0.001088,0.014529,0.000640,0.001504,0.001088,0.000416,1.232020
