Layer[0],Layer[1],Layer[2],TEE[3-9],Layer[10],classifier
0.421585,0.018017,0.203944,0.252201,0.000736,0.903268
0.421520,0.017665,0.202600,0.275723,0.000768,0.925092
0.420401,0.017921,0.202376,0.245897,0.000736,0.893891
0.434769,0.017921,0.202215,0.250378,0.000672,0.913699
0.417297,0.018017,0.203080,0.258666,0.000704,0.905092
0.415760,0.017600,0.202824,0.266411,0.000736,0.909924
0.436849,0.017569,0.202472,0.281579,0.001056,0.947077
0.421169,0.017793,0.203016,0.245577,0.000640,0.895107
0.416305,0.017505,0.203015,0.261514,0.000736,0.905476
0.420496,0.017761,0.202760,0.285259,0.000736,0.933828
0.421008,0.017664,0.202792,0.253258,0.000608,0.901667
0.420113,0.018241,0.204040,0.261066,0.000832,0.912068
0.421840,0.017729,0.202216,0.249546,0.000768,0.898371
0.435633,0.017985,0.203048,0.253065,0.000736,0.917124
0.422896,0.018081,0.205544,0.257354,0.000800,0.912484
0.422544,0.017697,0.204456,0.254570,0.000800,0.908483
0.416401,0.017441,0.203047,0.262987,0.000704,0.905988
0.417936,0.017473,0.203656,0.243209,0.000768,0.888994
0.415504,0.017601,0.202440,0.242505,0.000832,0.885667
0.416176,0.017537,0.202568,0.243242,0.000640,0.886595
0.434833,0.017953,0.203688,0.258922,0.000704,0.922020
0.415664,0.017697,0.201896,0.253994,0.000768,0.895107
0.416049,0.017728,0.202088,0.270571,0.000672,0.912260
0.415856,0.017632,0.202408,0.259082,0.000576,0.900579
0.416593,0.017632,0.203912,0.256330,0.000768,0.903204
0.416945,0.017600,0.203080,0.266731,0.000640,0.910372
0.416592,0.017377,0.202248,0.245033,0.000736,0.887426
0.428817,0.017505,0.203912,0.290635,0.000705,0.946310
0.422609,0.017825,0.204072,0.284875,0.000672,0.938085
0.423280,0.018113,0.204424,0.295564,0.001152,0.950949
0.424753,0.017985,0.204616,0.333677,0.001120,0.994215
0.421329,0.017857,0.203496,0.267530,0.000704,0.917956
0.420816,0.017601,0.202440,0.267691,0.000896,0.916644
0.416080,0.017728,0.203048,0.249482,0.000704,0.893379
0.415920,0.017633,0.203912,0.273771,0.000736,0.919908
0.422321,0.017793,0.203016,0.263818,0.000736,0.914468
0.421680,0.017728,0.203048,0.257866,0.000736,0.907875
0.421585,0.017793,0.224041,0.262186,0.000768,0.933285
0.421553,0.017568,0.202120,0.282027,0.000737,0.930821
0.416368,0.017729,0.202760,0.251370,0.000832,0.896451
0.421616,0.017696,0.203272,0.257898,0.000640,0.907523
0.420816,0.017505,0.202152,0.252394,0.000768,0.900259
0.415568,0.017760,0.202536,0.255658,0.000672,0.899875
0.415697,0.017504,0.202664,0.253226,0.000736,0.897187
0.440177,0.018209,0.202792,0.253034,0.000640,0.922212
0.420720,0.017825,0.202024,0.261962,0.000896,0.910243
0.422449,0.017728,0.202728,0.255114,0.000672,0.905539
0.420432,0.017761,0.202472,0.250346,0.000544,0.897859
0.421040,0.017697,0.202920,0.260394,0.000768,0.909667
0.416240,0.017505,0.202952,0.268138,0.000768,0.912228
0.416145,0.017472,0.202664,0.264715,0.000768,0.908100
0.443570,0.017632,0.202792,0.271083,0.001024,0.941957
0.416272,0.017729,0.202632,0.262250,0.000768,0.906723
0.415216,0.017793,0.203304,0.254602,0.000992,0.899651
0.421425,0.017760,0.202824,0.284588,0.000672,0.936069
0.420656,0.017600,0.203176,0.262827,0.000832,0.913828
0.420592,0.017441,0.203336,0.272043,0.000640,0.920836
0.420752,0.017889,0.202472,0.277067,0.000736,0.926308
0.441809,0.017601,0.202280,0.273003,0.000800,0.942661
0.421681,0.018017,0.201864,0.268010,0.000704,0.917348
0.420400,0.017889,0.202728,0.275243,0.000672,0.923524
0.416240,0.017473,0.219849,0.295723,0.000736,0.957638
0.421553,0.017729,0.201928,0.265290,0.000736,0.913636
0.416400,0.017825,0.203560,0.272874,0.001024,0.919780
0.421201,0.017729,0.202632,0.268938,0.000960,0.918628
0.417200,0.017728,0.202280,0.275563,0.000672,0.920580
0.420880,0.017792,0.202728,0.262891,0.000768,0.911716
0.420656,0.017697,0.202632,0.274987,0.000896,0.923204
0.420561,0.034689,0.203080,0.269259,0.000672,0.935429
0.420657,0.017825,0.202088,0.251786,0.000704,0.898980
0.415440,0.017505,0.201960,0.272010,0.000640,0.913603
0.420176,0.017633,0.202184,0.262378,0.000640,0.909251
0.420208,0.017473,0.201960,0.252554,0.000704,0.898467
0.415569,0.017793,0.202183,0.272843,0.000832,0.916708
0.420561,0.017697,0.202664,0.263242,0.000640,0.911300
