Layer[0],Layer[1],Layer[2],TEE[3-9],Layer[10],classifier
0.419825,0.017760,0.201896,0.264907,0.000768,0.910628
0.415569,0.017601,0.202535,0.260586,0.000704,0.903844
0.421392,0.017825,0.202152,0.268427,0.000768,0.916196
0.434673,0.017633,0.202376,0.266570,0.000704,0.929285
0.415408,0.017249,0.201960,0.257674,0.000704,0.898947
0.416784,0.017665,0.203752,0.281387,0.000864,0.929348
0.420144,0.017921,0.202792,0.279275,0.000800,0.928420
0.416113,0.017376,0.202376,0.255722,0.000737,0.899332
0.419217,0.017569,0.202183,0.261515,0.000704,0.908196
0.416113,0.017665,0.204264,0.260906,0.000704,0.906468
0.432849,0.017665,0.202184,0.246281,0.000704,0.905764
0.416080,0.017921,0.202344,0.271370,0.000736,0.914115
0.420464,0.017761,0.202120,0.250698,0.000640,0.897123
0.416464,0.017857,0.201992,0.288075,0.000736,0.930500
0.416240,0.017473,0.201896,0.240489,0.000768,0.882083
0.420016,0.017793,0.202024,0.267210,0.000768,0.914436
0.415760,0.017761,0.202568,0.267338,0.000832,0.910820
0.430961,0.018305,0.202824,0.263594,0.000832,0.923556
0.422897,0.017888,0.201928,0.268363,0.000800,0.918788
0.416368,0.021089,0.202216,0.243690,0.000608,0.888995
0.414961,0.017760,0.201832,0.288236,0.000800,0.929029
0.420721,0.017696,0.202215,0.253002,0.000672,0.899747
0.420145,0.017473,0.202280,0.251817,0.000608,0.897700
0.416369,0.018016,0.202376,0.274475,0.000704,0.916836
0.429168,0.017729,0.204264,0.283179,0.000640,0.940228
0.421232,0.017760,0.203432,0.269195,0.000640,0.920068
0.416624,0.017793,0.202440,0.251466,0.001024,0.896387
0.416017,0.017504,0.202536,0.281387,0.000768,0.924740
0.415568,0.017473,0.202280,0.266570,0.000736,0.909443
0.420688,0.017569,0.202248,0.249482,0.000704,0.897251
0.421072,0.017729,0.203656,0.272491,0.000672,0.922212
0.416337,0.017728,0.202248,0.264331,0.000704,0.907556
0.416144,0.017536,0.202920,0.270859,0.000640,0.914692
0.419856,0.017792,0.202312,0.280395,0.000768,0.927364
0.420080,0.017569,0.221225,0.261034,0.000608,0.926852
0.415664,0.017665,0.202440,0.273963,0.000640,0.917604
0.419856,0.017537,0.202120,0.263626,0.000640,0.910723
0.420081,0.017665,0.202280,0.257802,0.000736,0.905796
0.415825,0.017473,0.203111,0.257739,0.000672,0.901092
0.420272,0.017537,0.201832,0.267146,0.000672,0.913795
0.419953,0.017600,0.202728,0.268267,0.000864,0.916516
0.448593,0.017665,0.202504,0.273259,0.000640,0.949221
0.420113,0.017569,0.202760,0.269098,0.000704,0.916996
0.415440,0.017633,0.201864,0.267018,0.000608,0.909315
0.420112,0.017985,0.201896,0.277547,0.000768,0.924868
0.419920,0.017921,0.202184,0.265258,0.001184,0.913443
0.416304,0.017697,0.202920,0.258218,0.000832,0.903139
0.420304,0.017633,0.202536,0.263626,0.000704,0.911204
0.442258,0.017409,0.202791,0.265867,0.000672,0.935269
0.420048,0.017569,0.202088,0.271147,0.000640,0.918052
0.420145,0.017761,0.201896,0.259242,0.000672,0.905892
0.420080,0.017729,0.202120,0.313676,0.000896,0.960709
0.420081,0.017569,0.202375,0.267627,0.000736,0.915012
0.419888,0.017633,0.202760,0.269994,0.000736,0.917284
0.420208,0.017569,0.202088,0.272619,0.000704,0.919492
0.419921,0.017601,0.203272,0.263306,0.000736,0.912932
0.421072,0.017569,0.202184,0.263370,0.000736,0.911908
0.420080,0.017729,0.201960,0.257482,0.000736,0.905027
0.419760,0.017505,0.222921,0.267978,0.000705,0.935493
0.419665,0.017632,0.202312,0.272875,0.000704,0.919812
0.419856,0.018305,0.202184,0.270762,0.000704,0.918180
0.415697,0.017665,0.202119,0.257579,0.000736,0.900388
0.416048,0.017633,0.202504,0.260394,0.000704,0.903843
0.421009,0.017536,0.203144,0.250666,0.000576,0.899267
0.419888,0.017536,0.202344,0.274475,0.000608,0.921220
0.434961,0.017793,0.202312,0.268874,0.000800,0.931909
0.415888,0.017569,0.204232,0.276715,0.000832,0.922820
0.421296,0.017665,0.203656,0.289771,0.000864,0.940837
0.415249,0.017504,0.202888,0.281899,0.000736,0.924772
0.415569,0.017248,0.202088,0.256650,0.000608,0.898339
0.415505,0.017440,0.202344,0.266187,0.000576,0.908452
0.420912,0.017633,0.201960,0.263466,0.000576,0.910595
0.437105,0.017793,0.202056,0.271498,0.000800,0.936101
0.419825,0.017632,0.204616,0.263915,0.000832,0.913252
0.415472,0.017793,0.202088,0.265866,0.000640,0.907363
0.420240,0.017729,0.202024,0.283659,0.000736,0.931428
0.416848,0.017537,0.202824,0.275275,0.000896,0.920228
0.420368,0.017729,0.202120,0.253706,0.000704,0.901059
0.421552,0.017569,0.202600,0.265450,0.000864,0.914051
0.431921,0.017568,0.201864,0.273419,0.000608,0.931236
0.420432,0.017761,0.203656,0.249994,0.000576,0.898467
0.420113,0.017760,0.201992,0.253802,0.000608,0.900291
0.419920,0.017697,0.219497,0.270762,0.000801,0.936709
0.420400,0.017633,0.201928,0.267594,0.000769,0.914372
0.415632,0.017857,0.202120,0.249578,0.000576,0.891587
0.415792,0.017889,0.201992,0.269034,0.000704,0.911907
0.416913,0.017825,0.203080,0.263818,0.000832,0.909284
0.416976,0.018081,0.202632,0.251786,0.000704,0.896451
0.416048,0.017633,0.201928,0.258410,0.000544,0.900835
0.415121,0.017600,0.215977,0.234409,0.000704,0.889059
0.420209,0.017664,0.202504,0.255658,0.000865,0.903332
