Layer[0],Layer[1],TEE[2-8],Layer[9],Layer[10],classifier
0.421329,0.017728,0.746686,0.001280,0.000352,1.193103
0.421457,0.017761,0.745245,0.001408,0.000608,1.192975
0.417616,0.017729,0.766526,0.001248,0.000352,1.209711
0.421233,0.017633,0.730844,0.001281,0.000416,1.177935
0.416145,0.017825,0.745117,0.001408,0.000384,1.187439
0.437809,0.017537,0.749214,0.001216,0.000320,1.211856
0.417072,0.017537,0.743677,0.001248,0.000384,1.185870
0.417297,0.018080,0.754109,0.002112,0.000384,1.199407
0.416720,0.017601,0.723581,0.001280,0.000384,1.166126
0.420464,0.017441,0.748829,0.001216,0.000352,1.194318
0.421521,0.017505,0.775358,0.001376,0.000320,1.221424
0.421713,0.017633,0.747709,0.001440,0.000480,1.194799
0.421105,0.017665,0.753533,0.001344,0.000384,1.200463
0.421297,0.017729,0.788607,0.001504,0.000352,1.236689
0.420881,0.017633,0.747933,0.001376,0.000352,1.195151
0.416945,0.017793,0.750109,0.001344,0.000384,1.193007
0.437777,0.017665,0.742845,0.001216,0.000384,1.205967
0.419857,0.017569,0.741917,0.001216,0.000384,1.186703
0.420401,0.017696,0.745118,0.001152,0.000352,1.190511
0.423792,0.017728,0.733053,0.001312,0.000384,1.182766
0.420592,0.017569,0.740669,0.001248,0.000416,1.186190
0.421361,0.017793,0.765374,0.001248,0.000384,1.213840
0.420849,0.017664,0.746814,0.001280,0.000384,1.193103
0.420272,0.017761,0.747870,0.001344,0.000384,1.193903
0.422032,0.017473,0.762334,0.001344,0.000320,1.211727
0.420465,0.017824,0.737693,0.001312,0.000352,1.183502
0.420817,0.017505,0.747517,0.001184,0.000352,1.193487
0.421105,0.017665,0.746141,0.001216,0.000384,1.207631
0.420592,0.017472,0.747774,0.001216,0.000384,1.193295
0.420944,0.017537,0.731165,0.001280,0.000352,1.177486
0.439153,0.017537,0.737853,0.001344,0.000352,1.202415
0.417072,0.017601,0.743037,0.001376,0.000352,1.186350
0.422992,0.017601,0.747773,0.001409,0.000352,1.196111
0.419824,0.017568,0.750078,0.001408,0.000416,1.195951
0.420688,0.017601,0.750686,0.001280,0.000352,1.197391
0.420880,0.017569,0.757470,0.001376,0.000384,1.204527
0.419856,0.017665,0.735357,0.001376,0.000352,1.180558
0.421680,0.017664,0.748254,0.001312,0.000416,1.195375
0.420240,0.017536,0.760350,0.001248,0.000320,1.205743
0.420337,0.017441,0.737277,0.001344,0.000384,1.182735
0.420624,0.017729,0.743997,0.001344,0.000384,1.190734
0.439185,0.017569,0.747549,0.001344,0.000384,1.212847
0.415504,0.017697,0.741341,0.001312,0.000384,1.182446
0.420913,0.017632,0.723581,0.001344,0.000384,1.170414
0.423697,0.017857,0.756478,0.001344,0.000384,1.205872
0.415664,0.017633,0.752509,0.001408,0.000384,1.193326
0.420945,0.017793,0.761726,0.001248,0.000352,1.208624
0.421457,0.017505,0.748893,0.001280,0.000416,1.195887
0.420304,0.017825,0.745053,0.001280,0.000320,1.190895
0.420528,0.017953,0.768126,0.001408,0.000384,1.214544
0.420496,0.017824,0.751102,0.001280,0.000384,1.197007
0.420433,0.017537,0.750781,0.001344,0.000416,1.197359
0.438705,0.017505,0.747453,0.001248,0.000352,1.211919
0.420561,0.017889,0.752445,0.001377,0.000416,1.198576
0.417200,0.017505,0.743453,0.001408,0.000352,1.186542
0.422961,0.017569,0.751005,0.001345,0.000384,1.199504
0.421329,0.017728,0.747294,0.001344,0.000352,1.194383
0.421041,0.017760,0.765022,0.001344,0.000352,1.211728
0.422512,0.017793,0.768286,0.001216,0.000352,1.215919
0.423473,0.017632,0.741566,0.001280,0.000352,1.190511
0.416272,0.017569,0.761822,0.001248,0.000384,1.203471
0.422608,0.017665,0.744413,0.001248,0.000352,1.193263
0.417489,0.017697,0.748413,0.001184,0.000384,1.191087
0.432305,0.017568,0.750910,0.001248,0.000384,1.209616
0.423409,0.017793,0.732220,0.001344,0.000385,1.180623
0.422865,0.017537,0.740285,0.001376,0.000384,1.187855
0.435921,0.017665,0.752606,0.001248,0.000352,1.214448
0.423217,0.017664,0.742686,0.001216,0.000416,1.190415
0.417296,0.017761,0.741437,0.001312,0.000384,1.183662
0.420273,0.017696,0.740702,0.001408,0.000384,1.185871
0.424144,0.017537,0.736637,0.001248,0.000384,1.185806
0.421297,0.017505,0.766494,0.001408,0.000416,1.213968
0.422321,0.017536,0.745982,0.001440,0.000384,1.193519
0.421265,0.017760,0.747518,0.001344,0.000416,1.195535
0.423569,0.017537,0.771134,0.001344,0.000352,1.219824
0.423857,0.017825,0.750301,0.001408,0.000384,1.199984
