Layer[0],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415282,0.710206,0.047842,0.000640,0.013633,0.000384,0.001440,0.001120,0.000352,1.201107
0.433043,0.710430,0.047778,0.000704,0.013633,0.000384,0.001472,0.001152,0.000416,1.217012
0.416306,0.723423,0.049058,0.000608,0.013537,0.000384,0.001504,0.001088,0.000352,1.213364
0.416242,0.711262,0.047554,0.000608,0.013537,0.000384,0.001536,0.000928,0.000320,1.199347
0.415890,0.705950,0.047650,0.000640,0.013472,0.000384,0.001440,0.000992,0.000320,1.194899
0.415922,0.738655,0.047522,0.000672,0.013505,0.000352,0.001440,0.000992,0.000352,1.227028
0.415570,0.711550,0.047394,0.000576,0.013537,0.000352,0.001440,0.000960,0.000320,1.199091
0.415697,0.740608,0.047554,0.000608,0.013537,0.000416,0.001440,0.000960,0.000352,1.228852
0.415442,0.712894,0.047586,0.000640,0.013473,0.000416,0.001472,0.000992,0.000352,1.201683
0.416498,0.748704,0.047746,0.000576,0.013473,0.000384,0.001568,0.000992,0.000288,1.237525
0.416721,0.709502,0.047970,0.000608,0.013504,0.000416,0.001600,0.001088,0.000384,1.200819
0.415921,0.672989,0.047682,0.000576,0.013601,0.000352,0.001472,0.001088,0.000352,1.162577
0.434642,0.702910,0.048418,0.000640,0.013537,0.000352,0.001536,0.000928,0.000416,1.210771
0.415538,0.722367,0.047842,0.000640,0.013729,0.000384,0.001440,0.000960,0.000320,1.210932
0.415697,0.698782,0.047618,0.000576,0.013441,0.000320,0.001472,0.000960,0.000320,1.186770
0.415953,0.701469,0.047746,0.000608,0.013537,0.000384,0.001504,0.000960,0.000352,1.190130
0.417137,0.707710,0.048706,0.000608,0.013696,0.000448,0.001440,0.001184,0.000384,1.198323
0.416114,0.730879,0.048706,0.000672,0.013888,0.000352,0.001537,0.001120,0.000384,1.222068
0.416498,0.704094,0.048834,0.000608,0.013505,0.000384,0.001504,0.001024,0.000320,1.194547
0.415410,0.715838,0.048738,0.000608,0.013697,0.000416,0.001504,0.001088,0.000352,1.207603
0.416946,0.752096,0.048962,0.000576,0.013537,0.000384,0.001536,0.001024,0.000320,1.244213
0.416050,0.708190,0.048546,0.000640,0.013569,0.000352,0.001600,0.001152,0.000352,1.198611
0.415698,0.706718,0.047682,0.000640,0.013665,0.000416,0.001504,0.001024,0.000352,1.195443
0.432082,0.734367,0.047746,0.000608,0.013568,0.000384,0.001505,0.000992,0.000320,1.239093
0.415794,0.692477,0.047490,0.000672,0.013600,0.000384,0.001472,0.000992,0.000352,1.180882
0.415281,0.705406,0.047394,0.000576,0.013505,0.000384,0.001568,0.000960,0.000288,1.193331
0.416145,0.691485,0.047490,0.000640,0.013505,0.000384,0.001504,0.001024,0.000352,1.180722
