Layer[0],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.415665,0.773887,0.002432,0.001088,0.000352,1.200177
0.420241,0.763935,0.002496,0.000993,0.000384,1.194833
0.420689,0.758015,0.002464,0.001152,0.000384,1.189680
0.421009,0.788896,0.003392,0.001184,0.000416,1.221490
0.420049,0.784703,0.002464,0.001312,0.000384,1.216050
0.420305,0.753695,0.002560,0.001216,0.000384,1.184656
0.422225,0.787808,0.002432,0.000992,0.000352,1.220593
0.416145,0.785184,0.002624,0.001184,0.000320,1.212241
0.420497,0.769567,0.002560,0.001248,0.000320,1.202097
0.420273,0.777855,0.002688,0.001056,0.000320,1.209841
0.437169,0.772896,0.002336,0.001120,0.000320,1.220850
0.420369,0.760351,0.002528,0.001120,0.000352,1.191184
0.416625,0.763679,0.002400,0.000992,0.000384,1.190257
0.415281,0.768159,0.002273,0.001120,0.000384,1.193361
0.414961,0.755711,0.002336,0.001088,0.000352,1.180784
0.415633,0.821090,0.002496,0.000992,0.000288,1.247027
0.421009,0.783680,0.003488,0.001056,0.000352,1.216177
0.420177,0.760287,0.002400,0.001120,0.000384,1.191728
0.419665,0.807873,0.003872,0.001120,0.000384,1.240147
0.415473,0.769727,0.002496,0.001088,0.000352,1.195696
0.415121,0.770495,0.002433,0.001056,0.000352,1.195409
0.438258,0.810689,0.003712,0.001216,0.000384,1.260083
0.419953,0.754591,0.003296,0.001280,0.000384,1.186384
0.420465,0.808225,0.002432,0.001056,0.000320,1.238866
0.421105,0.798912,0.002368,0.001024,0.000320,1.229426
0.415249,0.774527,0.002368,0.001088,0.000384,1.199505
0.416465,0.788768,0.002912,0.001248,0.000352,1.217297
0.416945,0.772832,0.003552,0.001088,0.000384,1.201841
0.416145,0.766848,0.002912,0.001152,0.000384,1.195601
0.417297,0.790081,0.003584,0.001152,0.000384,1.220018
0.415953,0.760159,0.002688,0.001184,0.000384,1.187761
0.416753,0.794496,0.003489,0.001120,0.000352,1.223250
0.431634,0.765151,0.002976,0.001152,0.000352,1.208145
0.416497,0.759743,0.002336,0.001024,0.000352,1.186320
0.416080,0.763487,0.002464,0.001184,0.000384,1.189936
0.416720,0.768159,0.002368,0.001120,0.000352,1.195184
0.416209,0.754879,0.003488,0.001088,0.000320,1.182416
0.415473,0.785536,0.003584,0.001120,0.000384,1.213937
0.416977,0.777120,0.003424,0.001120,0.000416,1.206481
0.416881,0.771392,0.002304,0.001024,0.000416,1.199249
0.416561,0.787840,0.003168,0.001184,0.000384,1.216145
0.416465,0.766239,0.002560,0.001024,0.000320,1.193008
0.414833,0.767359,0.002432,0.001056,0.000320,1.192880
0.435730,0.772415,0.002273,0.001056,0.000320,1.218610
0.415473,0.781664,0.003040,0.001088,0.000320,1.208721
0.416240,0.762559,0.002400,0.001152,0.000384,1.188880
0.416433,0.759007,0.002432,0.001088,0.000320,1.185712
0.415665,0.770976,0.003232,0.001088,0.000320,1.198065
0.416080,0.798208,0.003360,0.001120,0.000384,1.227537
0.416593,0.798369,0.002368,0.001088,0.000384,1.225234
0.416657,0.767487,0.002433,0.000960,0.000352,1.194193
0.416561,0.793440,0.002976,0.000960,0.000352,1.220882
0.417105,0.752255,0.002400,0.000992,0.000320,1.179088
0.416657,0.764479,0.002656,0.001057,0.000352,1.192177
0.415152,0.776511,0.003616,0.001184,0.000384,1.203952
0.416689,0.767679,0.002368,0.001056,0.000352,1.194256
0.416817,0.767743,0.002464,0.001152,0.000416,1.195568
0.435602,0.776671,0.002561,0.001056,0.000416,1.223826
0.417201,0.768511,0.002465,0.001024,0.000384,1.196945
0.416049,0.764639,0.003200,0.001088,0.000352,1.191664
0.415889,0.768191,0.002529,0.001056,0.000320,1.194033
0.415376,0.765503,0.003040,0.001024,0.000352,1.191568
0.416721,0.782944,0.003072,0.001088,0.000384,1.211153
0.416592,0.766463,0.002464,0.000992,0.000352,1.193712
0.416561,0.767775,0.002272,0.000992,0.000352,1.194128
0.416817,0.787487,0.003136,0.001152,0.000384,1.216242
0.415665,0.759327,0.002432,0.001056,0.000416,1.186096
0.416561,0.760479,0.002432,0.001088,0.000352,1.187536
0.437330,0.764191,0.002656,0.001056,0.000320,1.212913
0.415536,0.766111,0.002496,0.001056,0.000352,1.192368
0.420081,0.765023,0.002561,0.001120,0.000352,1.195921
0.415473,0.768223,0.002400,0.001056,0.000352,1.193968
0.415601,0.770016,0.003232,0.001056,0.000352,1.196081
0.415729,0.788416,0.003200,0.000992,0.000320,1.215313
0.416817,0.765151,0.003040,0.001056,0.000352,1.194801
0.415601,0.752511,0.003072,0.001120,0.000384,1.179568
0.416945,0.758239,0.003200,0.001120,0.000320,1.187472
0.415825,0.767647,0.002369,0.001056,0.000352,1.193809
0.416113,0.768095,0.002497,0.001024,0.000384,1.195857
0.416081,0.783200,0.003072,0.001120,0.000384,1.211217
0.416689,0.773983,0.002528,0.001152,0.000384,1.201200
0.416785,0.755775,0.002560,0.001088,0.000384,1.183440
0.432593,0.788800,0.002913,0.000992,0.000352,1.232018
0.416657,0.764511,0.002208,0.000928,0.000320,1.190960
0.416657,0.772352,0.002496,0.001024,0.000320,1.199729
0.415889,0.801537,0.003264,0.001152,0.000384,1.229202
0.417745,0.765663,0.002272,0.001120,0.000352,1.194672
0.416689,0.806561,0.003680,0.001120,0.000384,1.237234
0.420625,0.762367,0.002401,0.001056,0.000352,1.193713
0.416977,0.760735,0.002529,0.001024,0.000320,1.189009
0.416849,0.782816,0.003296,0.001056,0.000320,1.211153
0.416913,0.768287,0.002464,0.001024,0.000320,1.195664
0.416273,0.770463,0.002400,0.001056,0.000352,1.196720
0.433937,0.767712,0.002816,0.001056,0.000352,1.212913
0.417104,0.785920,0.002656,0.001504,0.000352,1.217362
0.416209,0.760799,0.002464,0.000992,0.000352,1.186672
0.415761,0.791584,0.002368,0.001152,0.000352,1.218449
0.416529,0.769375,0.003297,0.001088,0.000384,1.197265
0.420241,0.783231,0.002433,0.000992,0.000352,1.214194
0.415985,0.764703,0.002433,0.001024,0.000384,1.190897
0.421009,0.757727,0.002528,0.001120,0.000320,1.189392
0.420433,0.800833,0.002496,0.000992,0.000320,1.232786
0.420689,0.755327,0.003264,0.001120,0.000384,1.187568
0.415537,0.763135,0.002176,0.001056,0.000320,1.188017
0.432113,0.760735,0.002400,0.000993,0.000320,1.202353
0.420273,0.783712,0.002208,0.000992,0.000352,1.213457
0.417233,0.759647,0.002976,0.001248,0.000416,1.188496
0.420337,0.756223,0.002368,0.001120,0.000384,1.188880
0.416945,0.797633,0.002432,0.000992,0.000416,1.224914
0.418097,0.802624,0.002240,0.001152,0.000416,1.231250
0.416497,0.764799,0.002849,0.001024,0.000384,1.191697
0.416273,0.749023,0.002912,0.001248,0.000288,1.176016
0.416881,0.785248,0.003008,0.001152,0.000352,1.212338
0.416113,0.750110,0.002848,0.001120,0.000352,1.176784
0.416337,0.764415,0.002144,0.001152,0.000352,1.189584
0.433329,0.797377,0.003488,0.001184,0.000416,1.242706
0.415921,0.763487,0.003329,0.001248,0.000384,1.191153
0.420497,0.747358,0.003552,0.001216,0.000384,1.180432
0.433553,0.759006,0.002977,0.001184,0.000416,1.204337
0.417009,0.769855,0.003040,0.001184,0.000416,1.197392
0.416465,0.779039,0.003201,0.001184,0.000384,1.205777
0.416881,0.754015,0.002464,0.001056,0.000320,1.180880
0.416017,0.753215,0.002272,0.001088,0.000352,1.178544
0.416529,0.771296,0.002400,0.000992,0.000352,1.198161
0.415121,0.749631,0.002240,0.001024,0.000352,1.174224
0.416561,0.750079,0.002400,0.000992,0.000384,1.177424
0.416753,0.778527,0.003168,0.001312,0.000384,1.207601
