Layer[0],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.437234,0.810016,0.002464,0.001088,0.000416,1.258259
0.420561,0.778048,0.002592,0.001120,0.000576,1.209777
0.421809,0.787423,0.002753,0.001440,0.000640,1.221618
0.421297,0.781984,0.002656,0.001184,0.000352,1.215153
0.420913,0.766079,0.002816,0.001184,0.000352,1.198192
0.421361,0.821121,0.002752,0.001248,0.000640,1.254227
0.416593,0.773951,0.002816,0.001121,0.000416,1.201009
0.420657,0.783679,0.002752,0.001120,0.000352,1.215889
0.439794,0.806721,0.002912,0.001088,0.000608,1.257779
0.420529,0.773407,0.002496,0.001089,0.000320,1.204465
0.420945,0.797697,0.002528,0.001184,0.000320,1.229074
0.416401,0.770784,0.002592,0.001376,0.000384,1.198577
0.422257,0.782336,0.002720,0.001376,0.000352,1.217393
0.416337,0.802561,0.002688,0.001408,0.000416,1.231378
0.417585,0.784288,0.002752,0.001184,0.000352,1.213137
0.422289,0.771647,0.002561,0.001344,0.000608,1.205841
0.420849,0.782335,0.002656,0.001088,0.000416,1.214449
0.420593,0.772191,0.002592,0.001312,0.000416,1.204369
0.417361,0.798624,0.002880,0.001056,0.000352,1.227025
0.439602,0.781600,0.002528,0.001024,0.000416,1.232242
0.421393,0.784800,0.002720,0.001376,0.000416,1.217073
0.417105,0.789408,0.002848,0.001120,0.000416,1.218385
0.421105,0.816225,0.003104,0.001152,0.000384,1.249299
0.417649,0.779328,0.002880,0.001088,0.000352,1.209393
0.421393,0.826401,0.002624,0.001024,0.000608,1.259763
0.417040,0.771200,0.002688,0.001152,0.000416,1.199408
0.417329,0.781472,0.002720,0.001120,0.000416,1.209361
0.416465,0.779200,0.002912,0.001088,0.000384,1.206417
0.420913,0.775839,0.002752,0.001120,0.000416,1.207825
0.420945,0.796833,0.002688,0.001024,0.000416,1.228498
0.433330,0.779167,0.002688,0.001024,0.000608,1.223665
0.416529,0.766815,0.002561,0.001152,0.000416,1.194193
0.421617,0.850755,0.002752,0.001024,0.000384,1.284372
0.420561,0.769951,0.002848,0.000961,0.000640,1.202193
0.420017,0.759198,0.002657,0.000992,0.000576,1.189776
0.422161,0.787840,0.003296,0.001120,0.000416,1.221810
0.417297,0.779231,0.002560,0.001345,0.000320,1.206993
0.421777,0.787840,0.002656,0.000992,0.000352,1.219665
0.447986,0.767967,0.002240,0.001056,0.000416,1.225361
0.419761,0.768927,0.002560,0.001056,0.000384,1.198641
0.420817,0.798657,0.002496,0.001120,0.000416,1.229426
0.438962,0.800992,0.002528,0.001121,0.000608,1.251251
0.420081,0.771423,0.002528,0.000928,0.000352,1.200593
0.420305,0.834594,0.002944,0.001088,0.000384,1.267155
0.421265,0.761022,0.002816,0.001217,0.000384,1.193553
0.420145,0.758047,0.002720,0.000992,0.000384,1.188336
0.416177,0.776639,0.002592,0.001056,0.000416,1.203152
0.421105,0.776031,0.003488,0.001280,0.000384,1.208432
0.416625,0.756830,0.002561,0.001312,0.000384,1.183376
0.435442,0.807360,0.003713,0.001120,0.000384,1.256275
0.415665,0.791232,0.002560,0.001280,0.000416,1.217265
0.420849,0.798720,0.003232,0.001281,0.000384,1.232274
0.420625,0.773728,0.002464,0.000960,0.000416,1.204561
0.417617,0.775648,0.003488,0.001216,0.000384,1.206641
0.415921,0.816801,0.002752,0.001153,0.000416,1.243475
0.420113,0.773855,0.002592,0.000992,0.000448,1.203985
0.420881,0.763423,0.002688,0.000896,0.000384,1.194224
0.420881,0.793825,0.002656,0.001056,0.000384,1.225650
0.415857,0.767743,0.002432,0.001280,0.000416,1.194192
0.421649,0.768319,0.003264,0.001120,0.000384,1.200817
0.441810,0.792832,0.002400,0.001280,0.000416,1.244722
0.421553,0.817121,0.002689,0.001280,0.000384,1.251059
0.420273,0.759967,0.002656,0.001120,0.000416,1.190512
0.420785,0.768287,0.002752,0.001152,0.000352,1.200656
0.421521,0.773280,0.002656,0.001120,0.000384,1.205361
0.421073,0.781791,0.002400,0.001056,0.000352,1.213105
0.416753,0.767359,0.002400,0.001088,0.000352,1.194192
0.415665,0.788672,0.002560,0.001120,0.000384,1.214545
0.415825,0.784576,0.002624,0.001024,0.000384,1.210801
0.420593,0.759134,0.002400,0.001120,0.000416,1.189584
0.419825,0.801184,0.002496,0.001056,0.000448,1.231633
0.430545,0.794400,0.003393,0.001120,0.000384,1.238066
0.417329,0.807552,0.002689,0.001024,0.000608,1.235666
0.416465,0.774271,0.002688,0.001184,0.000384,1.202768
0.429874,0.776703,0.002656,0.001184,0.000576,1.216913
