Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-9],Layer[10],classifier
0.420112,0.017377,0.202088,0.004864,0.046978,0.185639,0.000576,0.884194
0.419985,0.017728,0.202151,0.004865,0.047233,0.195336,0.000608,0.893923
0.415824,0.017505,0.219720,0.005249,0.047073,0.191335,0.000640,0.903811
0.415601,0.017376,0.202024,0.004801,0.047009,0.183048,0.000544,0.876163
0.414416,0.017729,0.202344,0.005216,0.047330,0.199912,0.000544,0.893379
0.416400,0.017345,0.201960,0.004992,0.047074,0.203912,0.000640,0.897635
0.433265,0.017729,0.201896,0.004768,0.047010,0.213128,0.000608,0.926500
0.415601,0.017696,0.202184,0.004993,0.047521,0.188776,0.000512,0.883171
0.419633,0.017792,0.201992,0.004833,0.047009,0.184328,0.000576,0.882851
0.415152,0.017633,0.202344,0.005184,0.047490,0.218729,0.000800,0.913892
0.415696,0.017472,0.202600,0.004800,0.047138,0.203624,0.000544,0.898179
0.417424,0.017601,0.202888,0.004768,0.047170,0.201864,0.000832,0.899363
0.415984,0.017697,0.202568,0.004992,0.046978,0.191911,0.000544,0.886467
0.430449,0.017632,0.202888,0.004992,0.047073,0.189384,0.000576,0.899331
0.416240,0.017441,0.202248,0.004832,0.047234,0.201960,0.000544,0.897507
0.416049,0.017792,0.202120,0.004993,0.046977,0.215721,0.000576,0.910276
0.419600,0.017728,0.206665,0.004832,0.072867,0.246313,0.001024,0.982534
0.416784,0.017760,0.203304,0.004992,0.049794,0.201352,0.000640,0.901155
0.415376,0.017537,0.203496,0.005024,0.048194,0.198728,0.000672,0.895715
0.420816,0.017473,0.202440,0.005088,0.048130,0.197512,0.000576,0.899171
0.415088,0.017665,0.202280,0.004960,0.048866,0.198120,0.000672,0.894691
0.419920,0.017729,0.202568,0.004800,0.048546,0.198120,0.000672,0.898755
0.414800,0.017601,0.202312,0.005056,0.047362,0.185575,0.000577,0.878947
0.415664,0.017281,0.219208,0.005217,0.047233,0.195432,0.000576,0.906883
0.419729,0.017505,0.201767,0.005313,0.047074,0.190695,0.000576,0.887875
0.425104,0.017473,0.202024,0.005024,0.047074,0.184743,0.000544,0.887874
0.420113,0.017441,0.203016,0.005024,0.046946,0.194215,0.000576,0.893795
0.449169,0.017600,0.201896,0.004928,0.047938,0.209640,0.000704,0.939237
0.415121,0.017472,0.203367,0.005281,0.047938,0.193799,0.000640,0.890051
0.416976,0.017633,0.201992,0.005024,0.049218,0.196936,0.000576,0.894691
0.420752,0.017473,0.220873,0.005248,0.048194,0.215880,0.000672,0.937189
0.420368,0.017697,0.202280,0.005056,0.047906,0.210984,0.000704,0.911332
0.421201,0.017536,0.203240,0.005152,0.048481,0.210729,0.000640,0.913380
0.416720,0.017601,0.202376,0.004992,0.047586,0.195624,0.000576,0.891779
0.438929,0.017568,0.201960,0.004800,0.048258,0.203112,0.000576,0.921700
0.420016,0.017665,0.202376,0.005248,0.048482,0.201928,0.000640,0.902371
0.415441,0.017280,0.202888,0.005088,0.048002,0.198472,0.000672,0.894595
0.420144,0.017505,0.232457,0.005216,0.047522,0.200872,0.000704,0.931876
0.420144,0.017569,0.202152,0.005056,0.048578,0.200616,0.000704,0.902563
0.416049,0.017632,0.201960,0.005056,0.047522,0.207657,0.000640,0.902756
0.419984,0.017313,0.202472,0.005024,0.047330,0.207976,0.000640,0.907075
0.437137,0.017504,0.202344,0.004769,0.048161,0.198984,0.000672,0.915844
