Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-10],classifier
0.415537,0.017728,0.202216,0.004769,0.048513,0.000640,0.013504,0.000352,0.001504,0.114981,0.900996
0.415889,0.017408,0.202408,0.004833,0.048129,0.000609,0.013536,0.000352,0.001440,0.115781,0.889443
0.416368,0.017281,0.202280,0.004800,0.047586,0.000576,0.013408,0.000352,0.001441,0.114692,0.890915
0.432881,0.017665,0.202088,0.004832,0.047618,0.000608,0.013441,0.000384,0.001472,0.118276,0.911812
0.415921,0.017440,0.203688,0.004865,0.047393,0.000576,0.013505,0.000384,0.001504,0.117093,0.896547
0.415920,0.017472,0.201928,0.004864,0.047554,0.000608,0.013409,0.000352,0.001504,0.110980,0.881315
0.416016,0.017313,0.202696,0.004800,0.068515,0.000832,0.013632,0.000352,0.001600,0.116901,0.913955
0.415728,0.017440,0.202472,0.004832,0.047298,0.000640,0.013441,0.000416,0.001504,0.119077,0.897155
0.415728,0.017697,0.202024,0.004832,0.048130,0.000640,0.013888,0.000352,0.001472,0.112485,0.886594
0.415536,0.017665,0.202376,0.004832,0.048546,0.000576,0.013441,0.000352,0.001440,0.111076,0.892675
0.433937,0.017600,0.202440,0.004865,0.048129,0.000800,0.013441,0.000352,0.001408,0.111172,0.904163
0.415408,0.017633,0.202024,0.004864,0.047330,0.000736,0.013408,0.000384,0.001505,0.110212,0.885346
0.415664,0.017473,0.202088,0.004768,0.047202,0.000608,0.013376,0.000384,0.001440,0.108709,0.881090
0.415504,0.017537,0.202311,0.004801,0.046978,0.000576,0.013376,0.000352,0.001472,0.121669,0.893346
0.415696,0.017505,0.201992,0.004800,0.047170,0.000576,0.013472,0.000352,0.001440,0.114597,0.885794
0.418320,0.017825,0.203656,0.004800,0.047138,0.000576,0.013569,0.000352,0.001536,0.126565,0.904451
0.417777,0.017344,0.202631,0.004865,0.048386,0.000576,0.013536,0.000320,0.001504,0.119109,0.900100
0.436945,0.017569,0.203016,0.004832,0.047618,0.000544,0.013408,0.000384,0.001472,0.118309,0.915587
0.416433,0.017761,0.202375,0.004833,0.048578,0.000608,0.013504,0.000352,0.001472,0.116837,0.900868
0.416432,0.017569,0.202184,0.004896,0.048098,0.000576,0.013440,0.000352,0.001472,0.118021,0.891650
0.416817,0.017697,0.202151,0.004832,0.063234,0.001056,0.013569,0.000384,0.001440,0.119685,0.913188
0.417360,0.017601,0.201768,0.004800,0.047330,0.000576,0.013537,0.000416,0.001472,0.113956,0.892099
0.417424,0.017537,0.202696,0.004832,0.047202,0.001024,0.013504,0.000352,0.001377,0.116740,0.894019
0.417168,0.017569,0.202792,0.004768,0.047330,0.000576,0.013472,0.000384,0.001472,0.113605,0.887362
0.432241,0.017761,0.202024,0.004864,0.047106,0.000576,0.013472,0.000384,0.001409,0.116644,0.907428
0.417521,0.017505,0.202087,0.004833,0.047138,0.000544,0.013408,0.000352,0.001408,0.112293,0.888963
0.416752,0.017601,0.202472,0.004800,0.047010,0.000992,0.013568,0.000320,0.001440,0.117061,0.895715
0.416592,0.017729,0.219752,0.004929,0.049090,0.000576,0.013504,0.000352,0.001568,0.118501,0.914147
0.416912,0.017889,0.201928,0.004800,0.048738,0.000608,0.014368,0.000352,0.001504,0.113348,0.887554
0.417265,0.017472,0.202152,0.005025,0.048129,0.000736,0.013953,0.000352,0.001568,0.116741,0.896995
0.416048,0.017505,0.201864,0.004864,0.048034,0.000608,0.013504,0.000352,0.001441,0.114404,0.890851
0.434289,0.017760,0.202471,0.004833,0.047842,0.000896,0.013568,0.000320,0.001440,0.113573,0.905347
0.416944,0.017697,0.202504,0.004832,0.048578,0.000576,0.013473,0.000320,0.001408,0.113604,0.891107
0.415729,0.017600,0.202728,0.004929,0.048002,0.000800,0.013632,0.000384,0.001376,0.117317,0.895907
0.417360,0.017601,0.219561,0.004960,0.049570,0.000800,0.013504,0.000352,0.001472,0.115684,0.912196
0.415536,0.017505,0.202248,0.004864,0.047778,0.000576,0.013473,0.000320,0.001472,0.116580,0.895747
0.416880,0.017537,0.203048,0.004800,0.049954,0.000832,0.013568,0.000320,0.001473,0.112804,0.890114
0.417872,0.017569,0.203304,0.004768,0.048226,0.000768,0.013697,0.000384,0.001440,0.126149,0.909731
0.423280,0.018112,0.207176,0.005057,0.049218,0.000800,0.013984,0.000384,0.001696,0.173351,0.973414
0.421936,0.018112,0.204456,0.005249,0.048962,0.000800,0.014304,0.000384,0.001568,0.176391,0.981030
0.419248,0.017953,0.203176,0.005120,0.048994,0.000800,0.013665,0.000352,0.001504,0.129381,0.915588
0.437329,0.017728,0.203336,0.005184,0.048418,0.000832,0.013889,0.000352,0.001536,0.118757,0.923684
0.416528,0.017696,0.202664,0.005216,0.048802,0.000576,0.014209,0.000384,0.001536,0.118949,0.900227
0.416144,0.017472,0.203624,0.005024,0.049122,0.000576,0.014209,0.000352,0.001600,0.115301,0.896259
0.417297,0.017856,0.221769,0.005344,0.048386,0.000576,0.014273,0.000384,0.001632,0.144358,0.948453
0.416337,0.017344,0.203976,0.004833,0.048130,0.000576,0.014240,0.000352,0.001632,0.118565,0.898212
0.416593,0.017377,0.203688,0.004832,0.048770,0.000800,0.013888,0.000352,0.001696,0.115333,0.895620
0.415888,0.017697,0.203208,0.004832,0.050402,0.000576,0.014721,0.000384,0.001600,0.119269,0.900483
0.416273,0.017536,0.203464,0.005056,0.048449,0.000736,0.014177,0.000576,0.001440,0.114309,0.894371
0.416112,0.017729,0.202632,0.004832,0.050082,0.000576,0.013857,0.000320,0.001472,0.115621,0.896131
0.415120,0.017441,0.202920,0.004864,0.048418,0.000544,0.013952,0.000384,0.001472,0.114788,0.891427
0.415857,0.017504,0.218249,0.004928,0.047778,0.000544,0.013665,0.000384,0.001504,0.117604,0.910724
0.418416,0.017697,0.203080,0.005024,0.049186,0.000544,0.013505,0.000352,0.001376,0.116805,0.898883
0.418032,0.017697,0.203016,0.005216,0.047522,0.000864,0.013665,0.000352,0.001504,0.114916,0.895267
0.417680,0.017537,0.202536,0.005056,0.049474,0.000704,0.013793,0.000384,0.001440,0.111396,0.891427
0.416496,0.017697,0.202472,0.004864,0.049410,0.000576,0.014177,0.000352,0.001472,0.112036,0.886531
0.416528,0.017217,0.203176,0.005088,0.048258,0.000800,0.013633,0.000352,0.001376,0.107460,0.880258
0.417681,0.017473,0.203304,0.005088,0.048194,0.000800,0.013696,0.000320,0.001472,0.114917,0.895108
0.416848,0.018113,0.218600,0.005217,0.047394,0.000576,0.013952,0.000320,0.001632,0.111653,0.905859
0.416817,0.017408,0.202535,0.005025,0.048258,0.000640,0.013440,0.000352,0.001504,0.107780,0.890019
0.415600,0.017633,0.202696,0.005312,0.047746,0.000608,0.013729,0.000384,0.001440,0.108356,0.884323
0.416624,0.017409,0.202568,0.005024,0.047970,0.000576,0.013633,0.000384,0.001536,0.104932,0.878466
0.433489,0.017505,0.202056,0.004896,0.048674,0.000576,0.013665,0.000384,0.001472,0.108164,0.900228
0.416912,0.017473,0.203784,0.004832,0.047426,0.000576,0.013536,0.000416,0.001440,0.113317,0.896227
0.416624,0.017441,0.202312,0.004832,0.048130,0.000800,0.013473,0.000384,0.001472,0.119908,0.897795
0.417297,0.017728,0.223177,0.005216,0.048290,0.001056,0.013729,0.000448,0.001440,0.113541,0.913188
0.417008,0.017985,0.203656,0.004832,0.048674,0.000800,0.013665,0.000384,0.001504,0.116612,0.897187
0.417136,0.017505,0.203400,0.005024,0.050690,0.000832,0.013953,0.000416,0.001440,0.118821,0.900899
0.415920,0.017793,0.203048,0.005248,0.048482,0.000768,0.013632,0.000384,0.001472,0.116645,0.894755
0.416976,0.017825,0.203656,0.005056,0.048578,0.000832,0.013441,0.000352,0.001440,0.123300,0.905731
0.418192,0.017472,0.203624,0.005024,0.047842,0.000608,0.013825,0.000320,0.001504,0.118021,0.898723
0.415921,0.017664,0.203432,0.005217,0.049314,0.000800,0.013984,0.000352,0.001536,0.116261,0.893123
0.415792,0.017473,0.222697,0.005344,0.050050,0.000736,0.014049,0.000384,0.001472,0.116132,0.915140
0.415056,0.017505,0.202664,0.005248,0.050146,0.000544,0.014017,0.000384,0.001536,0.113156,0.891459
0.415792,0.017569,0.203080,0.004992,0.049090,0.000544,0.013696,0.000352,0.001473,0.116548,0.893795
0.415696,0.017825,0.203976,0.004800,0.048258,0.000576,0.013825,0.000320,0.001504,0.117316,0.895139
0.416528,0.017697,0.203240,0.005056,0.047746,0.000800,0.013920,0.000352,0.001568,0.118756,0.904515
0.416465,0.017472,0.204616,0.005025,0.048417,0.000801,0.013504,0.000320,0.001472,0.114661,0.894403
0.416016,0.017537,0.203912,0.004992,0.048482,0.000832,0.013793,0.000352,0.001472,0.119845,0.900547
0.416496,0.017793,0.223208,0.005345,0.048194,0.000704,0.014016,0.000352,0.001472,0.119877,0.920228
0.415984,0.017441,0.202888,0.005056,0.048290,0.000800,0.014081,0.000416,0.001504,0.111364,0.891683
0.415889,0.017632,0.202728,0.005025,0.049538,0.000736,0.013824,0.000384,0.001440,0.120037,0.901092
0.415889,0.017664,0.202664,0.004993,0.048577,0.000577,0.013632,0.000384,0.001440,0.119141,0.897571
0.415696,0.017281,0.203080,0.004832,0.048578,0.000736,0.014016,0.000320,0.001440,0.113253,0.890882
0.416209,0.017728,0.202888,0.004801,0.048129,0.000608,0.013729,0.000352,0.001472,0.117893,0.895043
0.416208,0.017633,0.203464,0.005056,0.049890,0.000832,0.013792,0.000353,0.001472,0.115588,0.892067
0.437169,0.018017,0.205288,0.004992,0.048258,0.000896,0.013696,0.000352,0.001440,0.119653,0.924228
0.416305,0.017632,0.203239,0.004993,0.048162,0.000832,0.014048,0.000320,0.001472,0.115749,0.891427
0.415408,0.017697,0.203880,0.005024,0.048866,0.000736,0.013760,0.000384,0.001536,0.118853,0.899460
0.416145,0.017696,0.202280,0.005025,0.048769,0.000577,0.013824,0.000352,0.001504,0.117413,0.914468
0.415985,0.017536,0.203304,0.005089,0.050434,0.000608,0.013472,0.000352,0.001376,0.118277,0.895587
0.416496,0.017793,0.202888,0.004800,0.048546,0.000608,0.013697,0.000320,0.001376,0.109988,0.889539
0.416048,0.017569,0.204040,0.004832,0.047586,0.000960,0.013696,0.000384,0.001504,0.117605,0.895268
0.434993,0.017537,0.203048,0.005152,0.047522,0.000992,0.013441,0.000384,0.001440,0.117476,0.915556
0.416976,0.017665,0.203144,0.004800,0.047874,0.000960,0.013697,0.000384,0.001440,0.115908,0.891907
0.416913,0.017728,0.203496,0.004961,0.048674,0.000736,0.014016,0.000352,0.001440,0.116229,0.897379
0.417488,0.017601,0.203240,0.004992,0.048450,0.000608,0.014209,0.000352,0.001472,0.121797,0.927748
0.418032,0.017505,0.203048,0.005280,0.048418,0.000768,0.013985,0.000352,0.001664,0.114180,0.903395
0.415856,0.017729,0.202504,0.005152,0.051810,0.000800,0.014433,0.000352,0.001440,0.116580,0.897795
0.416049,0.017696,0.202280,0.004801,0.049889,0.000769,0.013696,0.000384,0.001504,0.115301,0.893891
0.433521,0.017601,0.203144,0.004992,0.047682,0.000576,0.013729,0.000384,0.001472,0.118980,0.913764
0.416465,0.017504,0.202312,0.005088,0.048897,0.000832,0.013665,0.000352,0.001376,0.116005,0.895331
0.416528,0.017537,0.202824,0.004992,0.050082,0.000800,0.014401,0.000384,0.001408,0.116869,0.897091
0.416912,0.017825,0.202632,0.004832,0.049026,0.000576,0.014049,0.000384,0.001440,0.138341,0.930564
0.416945,0.017536,0.203368,0.004833,0.048065,0.000577,0.013664,0.000384,0.001472,0.110308,0.887299
0.417104,0.017504,0.203240,0.005024,0.048322,0.000992,0.013633,0.000384,0.001376,0.113604,0.893123
0.416720,0.017537,0.202376,0.005024,0.047810,0.000768,0.013664,0.000320,0.001440,0.112997,0.895044
0.433873,0.017888,0.203464,0.005217,0.047009,0.000864,0.013760,0.000352,0.001440,0.112037,0.911939
0.416080,0.017441,0.202312,0.004800,0.047522,0.000704,0.013729,0.000320,0.001408,0.117924,0.896323
