Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.433745,0.017857,0.203463,0.005248,0.047938,0.000768,0.013440,0.171335,0.002240,0.001088,0.000576,0.905667
0.416240,0.017377,0.202536,0.005280,0.048194,0.000800,0.013408,0.170695,0.002400,0.000960,0.000576,0.886274
0.415441,0.017537,0.202119,0.005121,0.047810,0.000864,0.013408,0.168839,0.002368,0.000960,0.000384,0.882179
0.415856,0.017889,0.202696,0.005440,0.047298,0.000832,0.013376,0.179847,0.002369,0.000992,0.000384,0.894755
0.416016,0.017793,0.202536,0.005056,0.047234,0.000832,0.013409,0.171942,0.002465,0.000960,0.000384,0.885827
0.415920,0.017601,0.202536,0.005312,0.047234,0.000800,0.013408,0.180135,0.002145,0.000992,0.000384,0.894403
0.416369,0.020832,0.202216,0.005313,0.047265,0.000672,0.013376,0.172455,0.002464,0.000960,0.000320,0.889091
0.415984,0.017472,0.217353,0.005152,0.047042,0.000768,0.013440,0.174183,0.002432,0.001153,0.000384,0.904196
0.416784,0.017440,0.202696,0.005056,0.047010,0.000832,0.013537,0.173255,0.002464,0.001472,0.000384,0.888739
0.417424,0.017824,0.202216,0.005152,0.047842,0.000800,0.013409,0.174023,0.002432,0.001024,0.000320,0.890403
0.417489,0.017568,0.202631,0.005505,0.049250,0.000832,0.014240,0.175559,0.002368,0.000960,0.000384,0.894883
0.416496,0.017729,0.203304,0.005024,0.047682,0.000800,0.013632,0.176391,0.002304,0.000992,0.000352,0.893379
0.416400,0.017665,0.202472,0.005024,0.048130,0.000800,0.013440,0.170791,0.002400,0.000992,0.000320,0.886402
0.418544,0.017953,0.202440,0.005088,0.047970,0.000832,0.013536,0.170887,0.002240,0.000960,0.000384,0.888802
0.416368,0.017857,0.220008,0.005185,0.048449,0.000800,0.013985,0.170375,0.002112,0.001024,0.000320,0.904419
0.416144,0.017568,0.202184,0.005248,0.048130,0.000800,0.013569,0.172263,0.002304,0.000928,0.000320,0.886755
0.415888,0.017696,0.201960,0.005248,0.048674,0.000800,0.013569,0.160006,0.002336,0.001120,0.000352,0.875426
0.416208,0.017664,0.202536,0.005280,0.047874,0.000800,0.013601,0.158150,0.002400,0.001248,0.000352,0.874338
0.435153,0.017632,0.202248,0.005312,0.047682,0.000800,0.013729,0.174503,0.002240,0.000992,0.000384,0.908611
0.415345,0.017440,0.202056,0.005024,0.047426,0.000832,0.013441,0.170215,0.002240,0.000928,0.000352,0.883395
0.417201,0.017664,0.202952,0.005377,0.048226,0.000800,0.013536,0.171719,0.002208,0.001088,0.000384,0.889027
0.416336,0.017441,0.223016,0.005121,0.047426,0.000608,0.013472,0.179879,0.002144,0.000960,0.000352,0.915171
0.417072,0.017665,0.202056,0.005408,0.047362,0.000800,0.013473,0.162790,0.002176,0.000960,0.000384,0.877666
0.416080,0.017569,0.202344,0.005056,0.047618,0.000800,0.013344,0.172935,0.002304,0.000928,0.000352,0.886818
0.415952,0.017793,0.201864,0.004992,0.048226,0.001056,0.013408,0.165638,0.002336,0.000928,0.000352,0.879970
0.434449,0.020833,0.202152,0.005344,0.047906,0.000768,0.013312,0.173863,0.002400,0.000960,0.000384,0.910819
0.416240,0.017857,0.202056,0.005248,0.047266,0.000800,0.013376,0.169991,0.002176,0.000896,0.000384,0.884066
0.416273,0.017952,0.202759,0.005089,0.047714,0.000800,0.013376,0.163335,0.002720,0.001088,0.000384,0.880003
0.415504,0.017857,0.202568,0.005024,0.047426,0.000800,0.033026,0.158886,0.002240,0.001024,0.000352,0.892899
0.415824,0.017729,0.202312,0.005312,0.047170,0.000864,0.013344,0.168295,0.002240,0.001024,0.000416,0.882210
0.416209,0.017760,0.202088,0.005057,0.047073,0.000864,0.013409,0.174759,0.002368,0.000960,0.000384,0.889059
0.416305,0.017697,0.202023,0.004993,0.047202,0.000864,0.013344,0.162342,0.002272,0.000992,0.000384,0.876355
0.438609,0.017761,0.202472,0.005088,0.047074,0.000800,0.013377,0.173670,0.002144,0.000832,0.000352,0.910244
