Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-8],Layer[9],Layer[10],classifier
0.416688,0.017473,0.219976,0.005280,0.047426,0.189959,0.001216,0.000320,0.905411
0.416144,0.017633,0.203240,0.005184,0.047746,0.184007,0.001184,0.000320,0.880994
0.416177,0.017440,0.202536,0.004897,0.047553,0.190088,0.001184,0.000352,0.886307
0.416177,0.017728,0.203912,0.005377,0.047777,0.200712,0.001312,0.000384,0.900483
0.429905,0.017664,0.203080,0.005057,0.048001,0.197192,0.001248,0.000384,0.909123
0.415568,0.017793,0.202600,0.005088,0.048418,0.174215,0.000960,0.000416,0.870818
0.415600,0.017217,0.202536,0.004832,0.048258,0.205256,0.000960,0.000416,0.900931
0.415440,0.017505,0.202056,0.004832,0.048162,0.210728,0.001216,0.000352,0.906275
0.415696,0.017377,0.202440,0.004800,0.047714,0.186375,0.001184,0.000289,0.881475
0.415632,0.017505,0.202824,0.004864,0.048226,0.216713,0.001056,0.000256,0.912868
0.417776,0.017441,0.202152,0.004832,0.047842,0.184519,0.001024,0.000288,0.882018
0.430192,0.017376,0.203112,0.004896,0.048290,0.179175,0.001120,0.000288,0.890274
0.415696,0.017281,0.202344,0.005088,0.047842,0.190888,0.001120,0.000384,0.886531
0.415696,0.017633,0.204360,0.005216,0.048002,0.189896,0.001280,0.000416,0.889763
0.416400,0.017312,0.202056,0.004960,0.048290,0.187848,0.000928,0.000352,0.884259
0.416944,0.017665,0.203208,0.004864,0.048290,0.186152,0.000992,0.000320,0.884195
0.417073,0.017472,0.201864,0.004800,0.047586,0.194792,0.001120,0.000352,0.890787
0.415728,0.017697,0.202472,0.004800,0.049026,0.173799,0.001024,0.000384,0.871042
0.416624,0.017505,0.219496,0.005248,0.047682,0.174631,0.001280,0.000320,0.889186
0.416208,0.017249,0.202632,0.004992,0.047362,0.189287,0.001184,0.000320,0.884994
0.415760,0.017409,0.202568,0.004832,0.047842,0.193192,0.001088,0.000352,0.888611
0.415056,0.017601,0.203272,0.004800,0.048066,0.181223,0.001120,0.000384,0.877442
0.439986,0.017536,0.203208,0.005249,0.047265,0.199048,0.001248,0.000352,0.920868
0.417456,0.017505,0.203720,0.005248,0.048226,0.207432,0.001376,0.000352,0.908900
0.417040,0.017760,0.203176,0.005280,0.048258,0.197512,0.001344,0.000384,0.897603
0.415825,0.017888,0.221385,0.005216,0.047106,0.197416,0.001312,0.000352,0.913924
0.416176,0.017441,0.203176,0.005280,0.046722,0.198888,0.001248,0.000352,0.895811
0.415601,0.017760,0.202184,0.005216,0.047106,0.195336,0.001408,0.000384,0.891523
0.415856,0.017569,0.203016,0.005280,0.046914,0.196328,0.001248,0.000352,0.893187
0.433905,0.017633,0.203080,0.005248,0.047394,0.190791,0.001312,0.000352,0.906915
0.416304,0.017409,0.202344,0.005280,0.047746,0.192871,0.001344,0.000416,0.890626
0.415409,0.017632,0.202632,0.005280,0.047170,0.207304,0.001408,0.000352,0.904356
0.415664,0.017601,0.219944,0.005569,0.048034,0.195719,0.001312,0.000320,0.911459
0.417937,0.017728,0.205192,0.005057,0.048418,0.201672,0.001600,0.000672,0.905764
0.416368,0.017345,0.202696,0.005344,0.047938,0.199976,0.001376,0.000416,0.898275
0.415697,0.017504,0.203048,0.005248,0.048482,0.199304,0.001376,0.000352,0.897859
0.416561,0.017568,0.205448,0.005281,0.048226,0.204712,0.001504,0.000352,0.906756
0.416688,0.018049,0.202312,0.004992,0.048290,0.204200,0.001376,0.000416,0.902915
0.416848,0.017568,0.203336,0.005280,0.048578,0.197128,0.001344,0.000352,0.897123
0.415825,0.017664,0.220585,0.005568,0.049538,0.195848,0.001376,0.000416,0.914628
0.415600,0.017825,0.202664,0.005088,0.047778,0.203144,0.001312,0.000352,0.900483
0.417040,0.017761,0.202664,0.005248,0.047618,0.199560,0.001344,0.000384,0.898435
0.416816,0.017697,0.202984,0.005280,0.047586,0.196231,0.001600,0.000384,0.896163
0.416145,0.017568,0.202664,0.005089,0.047842,0.224680,0.001216,0.000352,0.923813
0.415920,0.017793,0.202568,0.005248,0.048290,0.202664,0.001472,0.000448,0.901571
0.416176,0.017377,0.202792,0.005312,0.047874,0.196263,0.001248,0.000352,0.894019
0.415697,0.039521,0.203048,0.005280,0.047586,0.189608,0.001248,0.000384,0.909156
