Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-10],classifier
0.431217,0.017601,0.203144,0.004864,0.046882,0.000576,0.013441,0.000416,0.117572,0.906052
0.416273,0.017569,0.202759,0.004801,0.047106,0.000608,0.013504,0.000352,0.101028,0.870466
0.415728,0.017473,0.202472,0.004832,0.046914,0.000608,0.013408,0.000352,0.131013,0.900291
0.415504,0.017888,0.202376,0.004864,0.046850,0.000576,0.013377,0.000352,0.108452,0.900419
0.415377,0.017600,0.202471,0.004865,0.046945,0.000576,0.013376,0.000352,0.104612,0.874595
0.416912,0.017665,0.201992,0.004864,0.046850,0.000608,0.013409,0.000352,0.106372,0.885027
0.415728,0.021249,0.202664,0.004832,0.047010,0.000608,0.013345,0.000416,0.114468,0.896003
0.415376,0.017312,0.216649,0.005024,0.046978,0.000608,0.013344,0.000384,0.111813,0.902308
0.415696,0.017441,0.203144,0.004832,0.046946,0.000608,0.013440,0.000384,0.112773,0.887139
0.414640,0.017952,0.202728,0.004864,0.046946,0.000608,0.013377,0.000384,0.106404,0.875714
0.415504,0.017664,0.202760,0.004896,0.047202,0.000576,0.013409,0.000448,0.116580,0.893283
0.415536,0.017761,0.203112,0.004800,0.047266,0.000608,0.013377,0.000384,0.110852,0.889411
0.415824,0.018401,0.202888,0.004800,0.047042,0.000576,0.013472,0.000352,0.110820,0.884034
0.415377,0.017760,0.202504,0.004801,0.046945,0.000576,0.013377,0.000384,0.115333,0.891011
0.415024,0.017697,0.215976,0.005024,0.047170,0.000576,0.013409,0.000384,0.114596,0.906723
0.416016,0.017601,0.202632,0.004832,0.047010,0.000608,0.013441,0.000384,0.112612,0.885379
0.415248,0.017729,0.202440,0.004800,0.046978,0.000576,0.013376,0.000352,0.112421,0.890850
0.417041,0.017697,0.202088,0.004864,0.046978,0.000608,0.013376,0.000384,0.114309,0.891971
0.429041,0.017857,0.202344,0.004800,0.047266,0.000640,0.013409,0.000384,0.110084,0.895523
0.415633,0.017952,0.202312,0.004768,0.047106,0.000576,0.013345,0.000384,0.105124,0.877539
0.415793,0.017728,0.202152,0.004801,0.047073,0.000608,0.013345,0.000416,0.116709,0.893379
0.416368,0.017697,0.202408,0.004800,0.067234,0.000640,0.013344,0.000384,0.116197,0.910307
0.417136,0.017793,0.201928,0.004800,0.047074,0.000576,0.013376,0.000384,0.110117,0.882531
0.416593,0.017600,0.202088,0.004801,0.047137,0.000544,0.013409,0.000384,0.111428,0.890179
0.415696,0.018337,0.202248,0.004800,0.047266,0.000640,0.013376,0.000384,0.113285,0.890466
0.436690,0.017760,0.202472,0.004768,0.047169,0.000640,0.013345,0.000384,0.110180,0.903876
0.416016,0.017697,0.202344,0.004864,0.047138,0.000576,0.013377,0.000352,0.111396,0.884643
0.415600,0.017761,0.202504,0.004800,0.047202,0.000608,0.013472,0.000416,0.117604,0.898467
0.416688,0.017569,0.202248,0.004800,0.047042,0.000608,0.013377,0.000416,0.131045,0.904163
0.415120,0.017537,0.202312,0.004800,0.047138,0.000608,0.013377,0.000416,0.110180,0.888451
0.415760,0.017793,0.202664,0.004768,0.046978,0.000608,0.013344,0.000384,0.114117,0.884898
0.416880,0.017536,0.202600,0.004832,0.046818,0.000576,0.013377,0.000416,0.115108,0.894563
0.434929,0.017792,0.202856,0.004801,0.046977,0.000608,0.013409,0.000384,0.112132,0.901635
0.416208,0.017505,0.203944,0.004832,0.046850,0.000608,0.013312,0.000384,0.112101,0.891778
0.416049,0.017569,0.202151,0.004801,0.047394,0.000576,0.013376,0.000352,0.110917,0.884163
0.415408,0.017537,0.202152,0.004800,0.047106,0.000576,0.013409,0.000352,0.129125,0.904195
0.415729,0.017856,0.202280,0.004800,0.047010,0.000576,0.013345,0.000384,0.110564,0.882467
0.416048,0.017729,0.202088,0.004864,0.046946,0.000576,0.013344,0.000384,0.110181,0.882754
0.416689,0.017696,0.202216,0.004833,0.046945,0.000609,0.013408,0.000416,0.106244,0.875107
0.433905,0.017601,0.201992,0.004832,0.047106,0.000576,0.013376,0.000416,0.119109,0.907619
0.415889,0.017665,0.203240,0.004832,0.047298,0.000608,0.013536,0.000416,0.119205,0.896291
0.416401,0.017504,0.203400,0.004800,0.047170,0.000576,0.013377,0.000384,0.112228,0.887139
0.416016,0.017537,0.202280,0.004832,0.047234,0.000608,0.013441,0.000352,0.113092,0.892387
