Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],TEE[10-10],classifier
0.421648,0.017920,0.202280,0.004864,0.048066,0.000800,0.013473,0.000320,0.001472,0.001088,0.111076,0.831329
0.420784,0.017761,0.203080,0.004832,0.049506,0.000832,0.013473,0.000384,0.001536,0.001184,0.108612,0.830176
0.441585,0.017857,0.202984,0.005248,0.047874,0.000736,0.013440,0.000352,0.001569,0.000928,0.116548,0.858721
0.420496,0.017441,0.202408,0.004896,0.047842,0.000800,0.013441,0.000384,0.001536,0.001120,0.114564,0.833120
0.414832,0.017760,0.202504,0.005216,0.048226,0.000576,0.013441,0.000384,0.001504,0.001056,0.112676,0.826177
0.415888,0.017729,0.202152,0.005248,0.048002,0.000800,0.013536,0.000416,0.001536,0.001281,0.115108,0.830400
0.416080,0.017633,0.204008,0.005216,0.048610,0.000608,0.013505,0.000320,0.001568,0.000992,0.110372,0.826944
0.417104,0.017793,0.202376,0.004864,0.048354,0.000864,0.013504,0.000320,0.001504,0.001217,0.111524,0.827072
0.416080,0.017536,0.202280,0.005120,0.049346,0.000832,0.013409,0.000416,0.001536,0.001184,0.105028,0.821216
0.415536,0.017857,0.219432,0.005248,0.047714,0.000832,0.013473,0.000384,0.001472,0.001056,0.107524,0.838465
0.415696,0.017217,0.203080,0.004800,0.049090,0.001024,0.013505,0.000352,0.001504,0.001152,0.112100,0.826976
0.415825,0.017344,0.202696,0.005408,0.048066,0.000704,0.013441,0.000320,0.001504,0.000992,0.109668,0.822624
0.420337,0.017377,0.202728,0.005216,0.048066,0.000800,0.013376,0.000416,0.001504,0.001056,0.113861,0.832449
0.435761,0.017601,0.203112,0.005120,0.047490,0.000800,0.013440,0.000384,0.001440,0.001089,0.114980,0.849313
0.417328,0.017473,0.202696,0.005280,0.047810,0.000832,0.013377,0.000352,0.001504,0.001152,0.105412,0.821216
0.416816,0.017408,0.203592,0.005056,0.048834,0.000832,0.013569,0.000352,0.001440,0.001312,0.112869,0.830625
0.415984,0.017505,0.202504,0.005120,0.048738,0.000832,0.013633,0.000320,0.001472,0.001120,0.110692,0.827520
0.436913,0.017857,0.202599,0.005089,0.048514,0.000832,0.013504,0.000384,0.001440,0.001120,0.106245,0.843073
0.416016,0.017537,0.203112,0.004832,0.048578,0.000800,0.013569,0.000352,0.001472,0.000992,0.109412,0.825536
0.417424,0.017601,0.202472,0.005312,0.049506,0.000832,0.013568,0.000384,0.001537,0.001024,0.108932,0.826432
0.420657,0.017537,0.202344,0.004832,0.047586,0.000864,0.013472,0.000352,0.001504,0.000992,0.135110,0.855074
0.420273,0.017696,0.202087,0.005313,0.048962,0.000576,0.013536,0.000416,0.001536,0.001184,0.110085,0.829569
0.420848,0.017761,0.202024,0.005024,0.048162,0.000864,0.013473,0.000384,0.001536,0.000960,0.105220,0.825376
0.416144,0.017921,0.202472,0.005312,0.048290,0.000768,0.013473,0.000320,0.001504,0.001152,0.111460,0.826688
0.422192,0.017825,0.234313,0.005248,0.048066,0.000800,0.013441,0.000352,0.001536,0.001088,0.116485,0.869730
0.416720,0.017953,0.203272,0.005248,0.047714,0.000800,0.013568,0.000384,0.001472,0.001313,0.115236,0.831776
0.416273,0.017760,0.202696,0.005569,0.048354,0.000576,0.013600,0.000384,0.001440,0.001024,0.110053,0.826241
0.420752,0.017888,0.202312,0.004800,0.048418,0.000576,0.013505,0.000384,0.001536,0.001024,0.109380,0.828768
0.436785,0.018017,0.202888,0.005056,0.048130,0.000832,0.013473,0.000352,0.001536,0.001152,0.109796,0.846049
0.420369,0.017985,0.203016,0.004896,0.047778,0.000864,0.013504,0.000416,0.001440,0.001152,0.107301,0.826881
0.416048,0.018049,0.202728,0.005056,0.047938,0.000992,0.013505,0.000384,0.001472,0.000992,0.107908,0.823168
0.415473,0.017601,0.202343,0.004833,0.047394,0.000800,0.013408,0.000352,0.001536,0.001120,0.109669,0.822369
0.420976,0.017537,0.202088,0.005120,0.047714,0.001024,0.013408,0.000352,0.001441,0.001120,0.109220,0.828288
0.416368,0.017857,0.202408,0.004864,0.047042,0.000832,0.013504,0.000320,0.001568,0.001153,0.111268,0.824992
0.415664,0.017313,0.202184,0.004992,0.048514,0.000608,0.013441,0.000384,0.001472,0.001120,0.109796,0.823200
0.417104,0.017665,0.202824,0.005248,0.047298,0.000992,0.013600,0.000416,0.001536,0.001216,0.126661,0.843745
0.416112,0.017536,0.203240,0.004800,0.047042,0.000608,0.013473,0.000352,0.001472,0.001248,0.104484,0.818112
0.416561,0.017376,0.202664,0.004897,0.046977,0.000576,0.013409,0.000320,0.001504,0.001152,0.106404,0.819328
0.416465,0.017313,0.202567,0.004865,0.046914,0.000576,0.013440,0.000416,0.001536,0.001056,0.104516,0.817472
0.416913,0.017569,0.222888,0.005025,0.046977,0.000992,0.013409,0.000352,0.001504,0.001056,0.107748,0.842593
0.420752,0.017313,0.202312,0.004864,0.046850,0.000608,0.013408,0.000320,0.001473,0.000992,0.107812,0.824096
0.415569,0.017376,0.202472,0.004832,0.047170,0.000992,0.013441,0.000384,0.001472,0.001152,0.107844,0.820000
0.416080,0.017249,0.201832,0.004864,0.047522,0.000544,0.013377,0.000384,0.001472,0.001024,0.106084,0.817824
