Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-9],Layer[10],classifier
0.415696,0.017921,0.202024,0.005280,0.047490,0.000608,0.013633,0.000352,0.001472,0.205448,0.000768,0.919332
0.415921,0.017761,0.202407,0.005025,0.047522,0.000576,0.013472,0.000352,0.001504,0.177575,0.000960,0.891459
0.415664,0.017793,0.202824,0.005248,0.047170,0.000640,0.013569,0.000352,0.001504,0.164934,0.001120,0.879106
0.415601,0.017953,0.202791,0.005217,0.046946,0.000640,0.013792,0.000288,0.001536,0.185768,0.000928,0.899844
0.434833,0.017697,0.202216,0.005280,0.046946,0.000608,0.013569,0.000352,0.001440,0.172839,0.001088,0.905252
0.416657,0.017889,0.202184,0.005024,0.048834,0.000576,0.013600,0.000384,0.001536,0.181255,0.001056,0.897796
0.417968,0.017921,0.202504,0.005280,0.049090,0.000608,0.013569,0.000352,0.001536,0.167782,0.000992,0.885635
0.417680,0.020929,0.202376,0.004768,0.048002,0.000608,0.013473,0.000320,0.001536,0.192487,0.001024,0.911332
0.418224,0.017633,0.202888,0.004800,0.047170,0.000640,0.013376,0.000384,0.001440,0.171975,0.000768,0.887299
0.416528,0.017953,0.202152,0.004800,0.047234,0.000608,0.013344,0.000416,0.001440,0.171206,0.001024,0.884482
0.417008,0.017697,0.202344,0.005088,0.047202,0.000608,0.013473,0.000352,0.001472,0.178375,0.001056,0.892387
0.436594,0.017824,0.202376,0.005248,0.047201,0.000576,0.013505,0.000384,0.001536,0.175399,0.000832,0.910180
0.415728,0.017856,0.202504,0.004768,0.047586,0.000512,0.013441,0.000352,0.001504,0.178919,0.000896,0.891747
0.417232,0.017761,0.202408,0.004832,0.047458,0.000576,0.013473,0.000416,0.001472,0.177543,0.000768,0.891971
0.416368,0.017537,0.202792,0.004992,0.046946,0.000608,0.013473,0.000352,0.001472,0.202504,0.000928,0.916196
0.417360,0.017729,0.202792,0.004768,0.048386,0.000640,0.013441,0.000416,0.001472,0.183495,0.001024,0.900131
0.417008,0.017281,0.202952,0.005152,0.049058,0.000576,0.013441,0.000384,0.001472,0.162726,0.000768,0.878754
0.416849,0.017760,0.202408,0.005025,0.049217,0.000608,0.013408,0.000352,0.001472,0.172615,0.001024,0.888899
0.435473,0.017888,0.203368,0.004800,0.047842,0.000576,0.013377,0.000384,0.001504,0.169671,0.000992,0.903588
0.415536,0.017825,0.202120,0.005248,0.047554,0.000576,0.013377,0.000416,0.001504,0.173831,0.000576,0.886595
0.416529,0.017888,0.202152,0.005057,0.047265,0.000608,0.013377,0.000384,0.001504,0.173895,0.000864,0.886851
0.417169,0.017697,0.202696,0.004800,0.046978,0.000608,0.013376,0.000416,0.001472,0.199688,0.000928,0.913188
