Layer[0],Layer[1],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421680,0.017409,0.765438,0.000704,0.002336,0.001120,0.000384,1.215920
0.421072,0.017440,0.736189,0.000640,0.001984,0.001152,0.000352,1.186319
0.420912,0.017280,0.742366,0.000608,0.002656,0.001216,0.000352,1.192047
0.432049,0.017505,0.730461,0.000640,0.001984,0.001248,0.000384,1.190767
0.415984,0.017281,0.743037,0.000640,0.001984,0.001120,0.000384,1.186702
0.420848,0.017441,0.731805,0.000672,0.002112,0.001088,0.000352,1.182350
0.420753,0.021217,0.754653,0.000672,0.002081,0.001056,0.000352,1.206288
0.415408,0.017249,0.735869,0.000576,0.002720,0.001248,0.000384,1.180174
0.415920,0.017377,0.754718,0.000608,0.002496,0.001088,0.000416,1.200719
0.420848,0.017504,0.728285,0.000704,0.002528,0.001440,0.000384,1.178510
0.416177,0.017345,0.739325,0.000640,0.002016,0.001120,0.000384,1.183375
0.416305,0.017472,0.778911,0.000704,0.002848,0.001152,0.000417,1.224593
0.419985,0.017345,0.732573,0.000704,0.002816,0.001248,0.000320,1.180975
0.415504,0.017216,0.736669,0.000608,0.002625,0.001216,0.000384,1.181135
0.416240,0.017537,0.769758,0.000992,0.002881,0.001248,0.000448,1.215504
0.415696,0.017249,0.737565,0.000736,0.001920,0.001120,0.000384,1.182318
0.420401,0.017537,0.729949,0.000608,0.001984,0.001088,0.000352,1.178127
0.438545,0.017312,0.739453,0.000705,0.001984,0.001056,0.000416,1.206640
0.415633,0.018016,0.745566,0.000704,0.002112,0.001056,0.000416,1.190063
0.416273,0.017889,0.748221,0.000672,0.001984,0.000992,0.000384,1.194448
0.420049,0.017473,0.740413,0.000672,0.001856,0.000992,0.000416,1.188623
0.420721,0.017697,0.737597,0.000640,0.001952,0.001056,0.000352,1.186991
0.416176,0.017761,0.740317,0.000704,0.002049,0.001184,0.000384,1.184463
0.420497,0.017632,0.751486,0.000704,0.002720,0.001184,0.000384,1.201903
0.415344,0.017697,0.735005,0.000640,0.002048,0.001088,0.000384,1.178798
0.420593,0.017889,0.771038,0.000640,0.002048,0.001120,0.000384,1.221745
0.415792,0.017281,0.739933,0.000672,0.002112,0.001120,0.000352,1.183630
0.420304,0.017761,0.743773,0.000704,0.002688,0.001248,0.000384,1.193583
0.436401,0.017504,0.763934,0.000736,0.002721,0.001056,0.000416,1.229681
0.416272,0.017313,0.743805,0.000704,0.002528,0.001248,0.000384,1.189326
0.415600,0.017185,0.726269,0.000608,0.002080,0.001088,0.000416,1.169902
0.447634,0.017665,0.765054,0.000704,0.002112,0.001024,0.000384,1.240913
0.419665,0.017920,0.724349,0.000608,0.002112,0.001120,0.000384,1.172558
0.420177,0.017281,0.737565,0.000640,0.002112,0.001024,0.000352,1.185519
0.415376,0.017537,0.745469,0.000672,0.002400,0.001120,0.000384,1.190831
0.415505,0.017441,0.747133,0.000704,0.002592,0.001120,0.000384,1.191535
0.415696,0.017441,0.756446,0.000672,0.002112,0.001056,0.000320,1.200080
0.421360,0.017665,0.782015,0.000672,0.002016,0.001120,0.000384,1.232336
0.415569,0.017472,0.738366,0.000704,0.002592,0.001120,0.000320,1.182895
0.420465,0.017696,0.751550,0.000704,0.002016,0.001120,0.000384,1.200655
0.423633,0.017537,0.753181,0.000704,0.003041,0.001600,0.000384,1.208720
0.422193,0.017633,0.772638,0.000768,0.002784,0.001440,0.000352,1.227569
0.441490,0.017601,0.759550,0.000800,0.003232,0.002016,0.000640,1.236305
0.421201,0.017441,0.746813,0.000736,0.002080,0.000992,0.000352,1.197424
0.420080,0.017792,0.776479,0.000768,0.002272,0.001088,0.000384,1.227312
0.415536,0.017313,0.750302,0.000704,0.002304,0.001184,0.000416,1.194223
0.416816,0.017440,0.743038,0.000736,0.002016,0.000992,0.000320,1.188271
0.415536,0.017793,0.762462,0.000768,0.002112,0.001056,0.000352,1.206544
0.420369,0.017761,0.746237,0.000704,0.002144,0.001056,0.000288,1.194800
0.420913,0.017409,0.752989,0.000672,0.002144,0.001185,0.000384,1.202832
0.420336,0.017441,0.755582,0.000672,0.002016,0.001088,0.000576,1.203823
0.420464,0.017569,0.743709,0.000672,0.003169,0.001152,0.000384,1.194383
0.420272,0.017441,0.740829,0.000672,0.002048,0.001248,0.000384,1.190223
0.436561,0.017633,0.763582,0.000704,0.002304,0.001408,0.000320,1.229040
0.421073,0.017441,0.755421,0.000928,0.002977,0.001216,0.000352,1.207568
0.420817,0.018048,0.728381,0.000672,0.001920,0.001120,0.000352,1.178030
0.416368,0.017409,0.742589,0.000672,0.002049,0.001248,0.000352,1.187663
0.418129,0.017632,0.726141,0.000672,0.002112,0.001312,0.000320,1.173774
0.415760,0.017729,0.763870,0.000768,0.002400,0.001056,0.000448,1.209424
0.415920,0.017697,0.776351,0.000736,0.002304,0.001120,0.000352,1.221072
0.420945,0.017697,0.745885,0.000736,0.002176,0.001121,0.000320,1.195568
0.415889,0.017504,0.772351,0.000704,0.003200,0.001120,0.000384,1.217712
0.420817,0.017536,0.743998,0.000576,0.002144,0.000992,0.000320,1.192047
0.416145,0.017344,0.743038,0.000640,0.002144,0.001120,0.000320,1.187567
0.433489,0.017985,0.759806,0.000608,0.002272,0.001056,0.000320,1.222192
0.420753,0.017409,0.742397,0.000704,0.002048,0.001024,0.000384,1.191343
0.415472,0.017441,0.745501,0.000704,0.002432,0.001120,0.000352,1.189678
0.415344,0.017505,0.741533,0.000673,0.001984,0.001312,0.000384,1.185743
0.420976,0.017889,0.733757,0.000672,0.002048,0.001120,0.000384,1.183630
0.415665,0.017665,0.761150,0.000672,0.002048,0.001184,0.000384,1.205360
0.421105,0.017601,0.748765,0.000640,0.002081,0.001088,0.000416,1.199024
0.415408,0.017313,0.741565,0.000672,0.002560,0.001184,0.000416,1.185647
0.421297,0.017409,0.756158,0.000704,0.002144,0.001056,0.000352,1.205232
0.462482,0.017697,0.748798,0.000800,0.002176,0.001152,0.000384,1.238929
0.415696,0.017600,0.752158,0.000736,0.002048,0.001120,0.000384,1.195727
0.433714,0.017600,0.751134,0.000704,0.002272,0.001024,0.000384,1.213584
0.421105,0.017633,0.736989,0.000800,0.002272,0.001024,0.000320,1.187183
0.415696,0.018048,0.732573,0.000672,0.002272,0.001152,0.000352,1.177390
0.433713,0.017377,0.754782,0.000768,0.002112,0.001120,0.000384,1.217616
0.415184,0.017665,0.728477,0.000672,0.002176,0.001120,0.000384,1.171950
