Layer[0],Layer[1],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416241,0.017761,0.738301,0.014464,0.000448,0.001537,0.001184,0.000352,1.198384
0.417296,0.017664,0.742590,0.014304,0.000512,0.001536,0.001120,0.000352,1.203503
0.416081,0.017472,0.743294,0.014720,0.000480,0.001408,0.001024,0.000384,1.223440
0.416240,0.017536,0.740446,0.014528,0.000672,0.001536,0.001248,0.000352,1.200399
0.416016,0.017505,0.742269,0.014721,0.000480,0.001536,0.001088,0.000384,1.201263
0.435409,0.017697,0.742845,0.014593,0.000480,0.001536,0.001056,0.000384,1.222384
0.415505,0.017504,0.736286,0.014240,0.000448,0.001536,0.001088,0.000384,1.194447
0.416016,0.017537,0.764382,0.014273,0.000480,0.001536,0.001216,0.000352,1.223024
0.417009,0.017696,0.731869,0.014305,0.000544,0.001536,0.001152,0.000384,1.193391
0.416625,0.017665,0.736637,0.014304,0.000480,0.001536,0.001120,0.000416,1.196048
0.416240,0.017633,0.757118,0.014241,0.000480,0.001472,0.000992,0.000384,1.215888
0.416016,0.017633,0.738429,0.014465,0.000320,0.001440,0.000928,0.000352,1.197167
0.415761,0.017601,0.731773,0.014400,0.000416,0.001472,0.001024,0.000384,1.190607
0.415632,0.018273,0.747454,0.014304,0.000896,0.001536,0.001184,0.000416,1.207183
0.416336,0.017633,0.737213,0.014369,0.000480,0.001536,0.001152,0.000416,1.197199
0.415792,0.017633,0.727773,0.014305,0.000448,0.001472,0.001120,0.000384,1.185583
0.449778,0.018368,0.737086,0.014336,0.000448,0.001472,0.001088,0.000384,1.229872
0.416400,0.017345,0.726492,0.014592,0.000448,0.001408,0.001056,0.000384,1.185903
0.416976,0.017761,0.745501,0.014561,0.000448,0.001568,0.001152,0.000352,1.206255
0.416177,0.017441,0.744157,0.014369,0.000672,0.001600,0.001088,0.000352,1.203568
0.416432,0.017665,0.735933,0.014369,0.000480,0.001472,0.001184,0.000384,1.194959
0.416080,0.017409,0.748222,0.014368,0.000448,0.001504,0.001056,0.000384,1.208016
0.416209,0.017440,0.747678,0.014625,0.000480,0.001504,0.001088,0.000352,1.207888
0.416688,0.017601,0.745277,0.014529,0.000512,0.001568,0.001248,0.000416,1.206095
0.416208,0.017344,0.765407,0.016992,0.000480,0.001408,0.000992,0.000353,1.229329
0.415056,0.017569,0.740189,0.014561,0.000480,0.001472,0.001248,0.000384,1.198415
0.415825,0.017408,0.739550,0.014400,0.000448,0.001568,0.001152,0.000384,1.198799
0.438738,0.017761,0.761054,0.017184,0.000512,0.001473,0.001184,0.000352,1.246162
0.418833,0.017472,0.741790,0.014752,0.000448,0.001633,0.001184,0.000384,1.205872
0.416496,0.017473,0.737757,0.032449,0.000544,0.001568,0.001153,0.000352,1.216592
0.415792,0.017504,0.734237,0.014401,0.000480,0.001600,0.001184,0.000384,1.193167
0.416913,0.017664,0.729085,0.014273,0.000480,0.001472,0.001184,0.000352,1.189039
0.415984,0.017472,0.771007,0.014432,0.000448,0.001472,0.001120,0.000352,1.230449
0.416144,0.017696,0.746078,0.014336,0.000480,0.001505,0.001152,0.000352,1.206160
0.415537,0.017665,0.739581,0.014561,0.000480,0.001568,0.001120,0.000416,1.198800
0.415217,0.037921,0.732797,0.014657,0.000416,0.001440,0.001056,0.000384,1.212208
0.416721,0.017697,0.743869,0.014657,0.000512,0.001632,0.001120,0.000384,1.203984
0.416177,0.017761,0.743581,0.014529,0.000512,0.001568,0.001216,0.000384,1.202960
0.433489,0.017632,0.731805,0.014881,0.000480,0.001600,0.001152,0.000352,1.210128
0.416113,0.017504,0.747518,0.014401,0.000512,0.001568,0.001120,0.000384,1.207440
0.415792,0.017665,0.758910,0.014305,0.000512,0.001536,0.001152,0.000384,1.217424
0.415761,0.017536,0.743486,0.014688,0.000449,0.001536,0.001088,0.000352,1.203664
0.416496,0.017728,0.741310,0.014656,0.000608,0.001568,0.001152,0.000384,1.202031
0.416400,0.017537,0.750141,0.014496,0.000416,0.001568,0.001056,0.000416,1.209967
0.416145,0.017408,0.739326,0.014528,0.000544,0.001504,0.000992,0.000352,1.198416
0.415633,0.017504,0.742334,0.015680,0.000512,0.001441,0.000992,0.000384,1.202448
0.431345,0.017728,0.739806,0.014560,0.000416,0.001472,0.001024,0.000384,1.214320
0.415601,0.017697,0.727100,0.014433,0.000448,0.001504,0.000960,0.000352,1.185743
0.416272,0.017537,0.738045,0.014401,0.000672,0.001632,0.001216,0.000416,1.199119
0.433553,0.017505,0.743678,0.015296,0.000448,0.001664,0.001376,0.000448,1.222224
0.415953,0.017729,0.725884,0.014561,0.000480,0.001408,0.001088,0.000384,1.185327
0.416625,0.017761,0.746973,0.014529,0.000480,0.001600,0.001184,0.000352,1.207664
0.416112,0.017569,0.736829,0.014593,0.000480,0.001568,0.001120,0.000384,1.195631
0.416208,0.017505,0.742621,0.014593,0.000448,0.001568,0.001088,0.000384,1.202959
0.416209,0.017409,0.756382,0.014400,0.000448,0.001536,0.001088,0.000352,1.215824
0.416081,0.017569,0.739229,0.014304,0.000449,0.001536,0.001088,0.000384,1.198864
0.415408,0.017601,0.722844,0.014368,0.000416,0.001536,0.001088,0.000416,1.181390
0.415856,0.017569,0.744125,0.014433,0.000544,0.001632,0.001120,0.000416,1.203887
0.415632,0.017697,0.729277,0.014368,0.000480,0.001536,0.001120,0.000384,1.188879
0.415632,0.017761,0.728445,0.014368,0.000480,0.001472,0.001152,0.000352,1.186862
0.432305,0.017601,0.728317,0.014208,0.000448,0.001536,0.001248,0.000448,1.203663
0.416752,0.017633,0.736157,0.014305,0.000480,0.001472,0.001120,0.000384,1.195375
