Layer[0],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.418674,0.786208,0.015937,0.000512,0.001632,0.001120,0.000384,1.233363
0.416081,0.784385,0.014368,0.000448,0.001504,0.001344,0.000320,1.225842
0.416945,0.771680,0.014593,0.000480,0.001568,0.001664,0.000352,1.214706
0.431218,0.791616,0.014720,0.000448,0.001600,0.001184,0.000320,1.247955
0.415826,0.759807,0.014305,0.000448,0.001536,0.001056,0.000288,1.200818
0.415954,0.772032,0.014752,0.000480,0.001600,0.001344,0.000416,1.214419
0.416721,0.768928,0.015201,0.000512,0.001504,0.001152,0.000320,1.211794
0.415697,0.761152,0.014432,0.000480,0.001632,0.001024,0.000288,1.201969
0.414897,0.790849,0.014592,0.000416,0.001569,0.001120,0.000320,1.231027
0.415889,0.797441,0.014817,0.000480,0.001536,0.001120,0.000288,1.240051
0.417617,0.775776,0.014785,0.000544,0.001536,0.001152,0.000320,1.218546
0.416049,0.782400,0.014625,0.000448,0.001536,0.001152,0.000320,1.223731
0.416401,0.766144,0.015936,0.000448,0.001568,0.000992,0.000352,1.209618
0.415378,0.764223,0.014657,0.000448,0.001504,0.001120,0.000320,1.205234
0.431986,0.763008,0.014560,0.000416,0.001472,0.001120,0.000384,1.220371
0.415121,0.757503,0.014177,0.000448,0.001440,0.001088,0.000320,1.196945
0.415793,0.755487,0.014337,0.000448,0.001472,0.001056,0.000352,1.195889
0.415666,0.771104,0.015872,0.000448,0.001440,0.000992,0.000320,1.213170
0.416754,0.795585,0.014592,0.000448,0.001409,0.001120,0.000320,1.237876
0.416817,0.792960,0.015488,0.000480,0.001568,0.001600,0.000352,1.238259
0.415729,0.767423,0.015489,0.000448,0.001632,0.001184,0.000352,1.209906
0.416625,0.768192,0.015008,0.000480,0.001472,0.001185,0.000352,1.210610
0.416369,0.771936,0.014368,0.000480,0.001504,0.001184,0.000320,1.213074
0.416017,0.779680,0.014273,0.000512,0.001536,0.001088,0.000320,1.220498
0.416242,0.758143,0.014145,0.000512,0.001600,0.001440,0.000352,1.199826
0.434194,0.761440,0.014529,0.000512,0.001536,0.001120,0.000384,1.220979
0.415665,0.759328,0.014432,0.000512,0.001568,0.001120,0.000320,1.199761
0.416913,0.781600,0.014529,0.000512,0.001536,0.001056,0.000320,1.224210
0.415986,0.760895,0.014401,0.000512,0.001984,0.001440,0.000320,1.203698
0.416465,0.771488,0.014337,0.000480,0.001536,0.001568,0.000384,1.214994
0.417649,0.807713,0.014753,0.000480,0.001440,0.001408,0.000352,1.251699
0.416369,0.755647,0.014304,0.000448,0.001537,0.001440,0.000384,1.197298
0.416690,0.768159,0.014561,0.000480,0.001568,0.001280,0.000352,1.210514
0.434194,0.771296,0.014592,0.000512,0.001537,0.001120,0.000384,1.230771
0.415633,0.798561,0.014497,0.000512,0.001664,0.001216,0.000384,1.239347
0.416753,0.787361,0.014368,0.000576,0.001504,0.001121,0.000352,1.229235
0.416369,0.766112,0.014528,0.000480,0.001568,0.001280,0.000384,1.208402
0.415985,0.748607,0.014305,0.000512,0.001600,0.001248,0.000384,1.189745
0.416369,0.807618,0.015713,0.000480,0.001568,0.001248,0.000352,1.251284
0.416721,0.767200,0.014496,0.000512,0.001632,0.001184,0.000352,1.209585
0.417170,0.763775,0.014433,0.000512,0.001504,0.001248,0.000352,1.206194
0.416401,0.784129,0.014272,0.000480,0.001472,0.001152,0.000320,1.225586
0.416081,0.749791,0.014560,0.000512,0.001536,0.001184,0.000352,1.191122
0.415825,0.752927,0.014624,0.000480,0.001568,0.001440,0.000320,1.194353
0.432818,0.756383,0.014241,0.000480,0.001536,0.001312,0.000320,1.214354
0.417170,0.747039,0.014400,0.000480,0.001472,0.001440,0.000353,1.189586
0.415857,0.759903,0.014432,0.000448,0.001600,0.001056,0.000384,1.200849
0.416722,0.763839,0.014657,0.000480,0.001504,0.001120,0.000384,1.206098
0.415953,0.771264,0.014464,0.000513,0.001568,0.001344,0.000416,1.213106
0.415409,0.788705,0.014497,0.000480,0.001568,0.001088,0.000352,1.230099
0.416753,0.765568,0.014977,0.000512,0.001536,0.001280,0.000384,1.208850
0.415729,0.765343,0.014305,0.000448,0.001536,0.001152,0.000384,1.206578
0.416977,0.781088,0.014625,0.000512,0.001568,0.001248,0.000320,1.223602
0.415921,0.761183,0.014433,0.000512,0.001600,0.001184,0.000320,1.202417
0.415410,0.751359,0.014272,0.000512,0.001601,0.001248,0.000352,1.191986
0.446226,0.795265,0.014273,0.000512,0.001632,0.001440,0.000352,1.266772
0.419889,0.796545,0.014337,0.000480,0.001600,0.001024,0.000320,1.241523
0.416081,0.757599,0.014753,0.000448,0.001408,0.001024,0.000352,1.198001
0.415889,0.747678,0.014241,0.000448,0.001536,0.000992,0.000320,1.188561
0.415345,0.763616,0.014144,0.000449,0.001504,0.001088,0.000352,1.203346
0.417105,0.774656,0.014657,0.000448,0.001600,0.001120,0.000320,1.216850
0.415761,0.762336,0.014145,0.000480,0.001504,0.001088,0.000320,1.202738
0.416370,0.759167,0.014241,0.000544,0.001632,0.001120,0.000320,1.200018
0.414674,0.775520,0.014336,0.000448,0.001472,0.001121,0.000352,1.213907
0.415761,0.743935,0.014241,0.000480,0.001536,0.001120,0.000320,1.183569
0.417137,0.794625,0.015585,0.000480,0.001472,0.002368,0.000608,1.243763
0.437106,0.783937,0.015233,0.000512,0.001952,0.001312,0.000320,1.247988
0.421745,0.831490,0.015329,0.000512,0.001888,0.002720,0.000576,1.284821
0.417873,0.816898,0.015233,0.000448,0.001632,0.001408,0.000320,1.262356
0.416337,0.770048,0.015392,0.000448,0.001825,0.001056,0.000384,1.213618
0.416626,0.766367,0.014849,0.000448,0.001568,0.001120,0.000352,1.208306
0.416593,0.772863,0.014432,0.000480,0.001504,0.001216,0.000352,1.214034
0.416881,0.760959,0.014369,0.000448,0.001504,0.001088,0.000352,1.201969
0.416242,0.738494,0.014657,0.000480,0.001504,0.001024,0.000352,1.178833
0.433810,0.757503,0.015713,0.000448,0.001504,0.000992,0.000352,1.216594
0.416593,0.754463,0.014241,0.000448,0.001472,0.001120,0.000384,1.195217
0.416561,0.741951,0.014112,0.000480,0.001504,0.001088,0.000352,1.182704
0.415985,0.744991,0.014368,0.000448,0.001504,0.001025,0.000320,1.185137
0.415793,0.796001,0.014433,0.000384,0.001408,0.001024,0.000352,1.236307
0.416145,0.793153,0.014432,0.000480,0.001536,0.001056,0.000384,1.233042
0.418001,0.742143,0.014336,0.000480,0.001568,0.001152,0.000320,1.184272
0.416274,0.759999,0.014369,0.000448,0.001504,0.001120,0.000352,1.200242
0.416945,0.778304,0.015425,0.000448,0.001536,0.001056,0.000288,1.220370
0.415185,0.746847,0.014433,0.000352,0.001568,0.001056,0.000320,1.186385
0.415410,0.740862,0.014497,0.000448,0.001504,0.001088,0.000352,1.180305
0.415537,0.782240,0.014401,0.000448,0.001568,0.001120,0.000416,1.221907
0.414929,0.775456,0.014593,0.000480,0.001536,0.001152,0.000352,1.215154
0.415537,0.754207,0.014144,0.000416,0.001472,0.001088,0.000224,1.193553
0.436594,0.800001,0.014401,0.000448,0.001600,0.001120,0.000352,1.264084
0.415985,0.753824,0.014528,0.000480,0.001504,0.001024,0.000352,1.193969
0.415634,0.753343,0.014400,0.000384,0.001536,0.001024,0.000288,1.192754
0.416177,0.752959,0.014273,0.000480,0.001728,0.001440,0.000352,1.194001
0.415697,0.771296,0.014497,0.000416,0.001568,0.001088,0.000320,1.212178
0.414962,0.770335,0.014144,0.000448,0.001472,0.000960,0.000352,1.209042
0.415121,0.783329,0.014080,0.000480,0.001408,0.001152,0.000352,1.222258
0.415281,0.750047,0.013921,0.000480,0.001472,0.000960,0.000352,1.189041
0.416690,0.764639,0.014081,0.000448,0.001600,0.001056,0.000384,1.205234
0.414737,0.742974,0.014144,0.000480,0.001504,0.001056,0.000352,1.181392
0.416273,0.780705,0.014336,0.000480,0.001473,0.001184,0.000320,1.223219
0.432626,0.757951,0.014273,0.000448,0.001504,0.001088,0.000352,1.214674
0.415377,0.770208,0.014560,0.000448,0.001440,0.001056,0.000352,1.209682
0.415825,0.752735,0.014048,0.000448,0.001440,0.000960,0.000320,1.192273
0.414577,0.749470,0.014336,0.000448,0.001440,0.001088,0.000320,1.187857
0.415537,0.741151,0.014080,0.000448,0.001409,0.001056,0.000320,1.180977
0.415473,0.765824,0.016321,0.000448,0.001440,0.001056,0.000320,1.207154
0.415665,0.785216,0.014657,0.000448,0.001408,0.001024,0.000384,1.226355
0.415506,0.757535,0.014177,0.000480,0.001440,0.001280,0.000384,1.197106
0.415729,0.786784,0.014337,0.000448,0.001472,0.000992,0.000352,1.226738
0.416465,0.757599,0.014305,0.000448,0.001408,0.001056,0.000352,1.199569
0.416145,0.746527,0.014113,0.000416,0.001472,0.000992,0.000352,1.187089
0.432050,0.753503,0.015041,0.000448,0.001472,0.001024,0.000352,1.211666
0.415409,0.751487,0.014305,0.000352,0.001536,0.001184,0.000320,1.190897
0.414897,0.752287,0.014241,0.000480,0.001440,0.000992,0.000352,1.191025
0.429394,0.749503,0.014561,0.000416,0.001408,0.000960,0.000352,1.202738
0.414770,0.751679,0.013984,0.000448,0.001472,0.001025,0.000320,1.190066
0.415026,0.738110,0.013857,0.000480,0.001344,0.000992,0.000352,1.175825
0.415441,0.731390,0.014016,0.000480,0.001441,0.001088,0.000352,1.170481
0.415537,0.750559,0.014080,0.000448,0.001441,0.000992,0.000352,1.189649
0.415058,0.786560,0.014497,0.000480,0.001376,0.001024,0.000384,1.226067
0.415665,0.753920,0.014304,0.000416,0.001472,0.001024,0.000352,1.194833
0.415537,0.746047,0.014401,0.000448,0.001504,0.001056,0.000320,1.186033
0.415345,0.781216,0.014337,0.000480,0.001504,0.001248,0.000384,1.221746
0.415569,0.745759,0.014177,0.000384,0.001440,0.001216,0.000320,1.186161
0.417170,0.761471,0.014401,0.000416,0.001472,0.000960,0.000352,1.202194
0.449682,0.743135,0.014273,0.000448,0.001408,0.001088,0.000352,1.216722
0.414833,0.790625,0.014176,0.000416,0.001472,0.001056,0.000384,1.230354
0.415697,0.754655,0.014176,0.000480,0.001536,0.001024,0.000384,1.195153
0.416657,0.758111,0.014337,0.000448,0.001440,0.001024,0.000384,1.199473
0.415346,0.761951,0.014145,0.000352,0.001408,0.001216,0.000320,1.201202
0.415825,0.780160,0.014272,0.000384,0.001473,0.000928,0.000320,1.219731
0.415154,0.762815,0.014593,0.000512,0.001504,0.001088,0.000384,1.202290
0.416337,0.751615,0.014401,0.000352,0.001504,0.001120,0.000320,1.191793
0.416114,0.766783,0.014273,0.000384,0.001408,0.000992,0.000352,1.207730
0.415666,0.756127,0.015457,0.000416,0.001440,0.001184,0.000384,1.197170
0.415633,0.750175,0.014465,0.000448,0.001472,0.001056,0.000416,1.189969
0.432722,0.777600,0.014209,0.000480,0.001536,0.001184,0.000352,1.234611
0.415986,0.753663,0.014592,0.000448,0.001409,0.001024,0.000320,1.194002
0.415249,0.762144,0.014304,0.000448,0.001504,0.001152,0.000288,1.202897
0.415825,0.767711,0.014913,0.000448,0.001408,0.001024,0.000320,1.209234
0.415345,0.757888,0.014240,0.000480,0.001504,0.001184,0.000352,1.197681
0.416049,0.764159,0.014177,0.000480,0.001504,0.001024,0.000384,1.204625
0.415505,0.755007,0.014049,0.000416,0.001408,0.001024,0.000320,1.194385
0.416433,0.742399,0.014113,0.000416,0.001440,0.001184,0.000352,1.183441
0.418001,0.781057,0.014656,0.000448,0.001376,0.001089,0.000352,1.224147
0.416529,0.742495,0.014881,0.000448,0.001728,0.000960,0.000320,1.184497
0.417425,0.758111,0.014433,0.000384,0.001600,0.000960,0.000320,1.199729
0.415857,0.774496,0.014145,0.000416,0.001600,0.001216,0.000352,1.215314
0.417073,0.767264,0.014496,0.000512,0.001536,0.001153,0.000384,1.210098
0.416369,0.763135,0.014593,0.000448,0.001568,0.001120,0.000352,1.204305
0.433170,0.769696,0.016321,0.000512,0.001504,0.001088,0.000352,1.229043
0.415729,0.752767,0.014625,0.000448,0.001856,0.000960,0.000352,1.194129
0.417073,0.773952,0.016001,0.000448,0.001536,0.001024,0.000384,1.217650
0.417426,0.782560,0.014561,0.000384,0.001472,0.001280,0.000384,1.224691
0.415857,0.747295,0.014657,0.000480,0.001472,0.001024,0.000384,1.188593
0.416241,0.787489,0.015232,0.000448,0.001568,0.001120,0.000353,1.231795
0.416401,0.781473,0.014688,0.000512,0.001601,0.001216,0.000384,1.223635
0.416913,0.759199,0.014753,0.000448,0.001600,0.001088,0.000416,1.201394
0.417201,0.772352,0.014625,0.000480,0.001600,0.001440,0.000384,1.216402
0.417425,0.768704,0.015617,0.000448,0.001472,0.001056,0.000384,1.212722
0.415761,0.750943,0.015073,0.000512,0.001472,0.001056,0.000352,1.191441
0.433618,0.768160,0.015136,0.000544,0.001504,0.001184,0.000320,1.226994
0.416753,0.760895,0.014945,0.000448,0.001664,0.001024,0.000416,1.202769
0.415378,0.782272,0.034177,0.000705,0.001536,0.001184,0.000384,1.242964
0.415921,0.752735,0.014496,0.000448,0.001568,0.001248,0.000384,1.193233
0.416273,0.757631,0.014496,0.000480,0.001537,0.001024,0.000352,1.198066
0.415729,0.775648,0.014817,0.000448,0.001632,0.001184,0.000384,1.216274
0.415729,0.739102,0.016033,0.000448,0.001504,0.001088,0.000384,1.180592
0.416785,0.756288,0.014272,0.000480,0.001536,0.001152,0.000384,1.198417
0.416785,0.790529,0.014720,0.000448,0.001632,0.001120,0.000384,1.233203
0.415665,0.753695,0.014688,0.000480,0.002080,0.001056,0.000353,1.194738
0.415281,0.760128,0.014752,0.000448,0.001568,0.001184,0.000352,1.200466
0.430258,0.751231,0.018401,0.000448,0.001792,0.001088,0.000384,1.209874
0.416945,0.751327,0.014752,0.000480,0.001440,0.001024,0.000352,1.192913
0.417489,0.762688,0.014656,0.000416,0.001536,0.001024,0.000352,1.204721
0.417393,0.748927,0.014881,0.000448,0.001472,0.001184,0.000384,1.191793
0.416113,0.761407,0.015969,0.000480,0.001536,0.001120,0.000352,1.203025
0.416369,0.783808,0.015905,0.000480,0.001600,0.001152,0.000352,1.226354
0.415761,0.799361,0.015297,0.000448,0.001472,0.000992,0.000384,1.241715
0.416657,0.744383,0.014433,0.000512,0.001792,0.001056,0.000352,1.185969
0.415922,0.762143,0.015681,0.000480,0.001568,0.001184,0.000352,1.204658
0.415889,0.750783,0.014496,0.000448,0.001440,0.001056,0.000352,1.190641
0.414865,0.754975,0.015905,0.000480,0.001472,0.001056,0.000352,1.194513
0.431474,0.758271,0.014753,0.000544,0.001536,0.001152,0.000352,1.213938
0.416145,0.756863,0.014113,0.000480,0.001568,0.001152,0.000320,1.197841
0.415953,0.778753,0.014560,0.000480,0.001440,0.001184,0.000352,1.219443
0.430770,0.766783,0.014336,0.000480,0.001504,0.001056,0.000320,1.221970
0.416178,0.756767,0.017217,0.000480,0.001536,0.000896,0.000320,1.199666
0.415825,0.820226,0.015361,0.000448,0.001536,0.001088,0.000384,1.263732
0.414961,0.756543,0.014689,0.000448,0.001472,0.001056,0.000352,1.196145
0.415345,0.756927,0.016801,0.000480,0.001440,0.001088,0.000352,1.198833
0.415057,0.782848,0.014304,0.000480,0.001408,0.001056,0.000352,1.221938
0.415057,0.759712,0.014368,0.000448,0.001408,0.001024,0.000384,1.198929
0.415121,0.746431,0.014336,0.000448,0.001441,0.001088,0.000352,1.185841
0.415217,0.810786,0.014273,0.000480,0.001536,0.001056,0.000320,1.251764
0.415473,0.740030,0.014209,0.000448,0.001568,0.001056,0.000352,1.180209
0.415633,0.747967,0.014272,0.000512,0.001440,0.000960,0.000320,1.186801
0.429522,0.798561,0.014752,0.000448,0.001473,0.000992,0.000320,1.253044
0.416209,0.751647,0.014369,0.000480,0.001472,0.001120,0.000352,1.192113
0.416433,0.765023,0.033058,0.000512,0.001536,0.001024,0.000320,1.223858
0.415185,0.740671,0.014400,0.000448,0.001408,0.001120,0.000352,1.179600
0.415409,0.751743,0.014145,0.000480,0.001408,0.001056,0.000352,1.191153
0.415153,0.799457,0.014113,0.000416,0.001440,0.001024,0.000352,1.238387
0.415730,0.757823,0.016033,0.000512,0.001472,0.001024,0.000320,1.199826
0.415857,0.757376,0.016096,0.000448,0.001409,0.001056,0.000320,1.198962
0.416305,0.777312,0.014305,0.000480,0.001440,0.001088,0.000352,1.218418
0.419218,0.780800,0.015393,0.000512,0.001792,0.001824,0.000416,1.228275
0.417714,0.771328,0.014784,0.000480,0.001568,0.001152,0.000385,1.214995
0.436914,0.772351,0.014336,0.000512,0.001632,0.001184,0.000384,1.233587
0.415889,0.743647,0.014977,0.000512,0.001600,0.001088,0.000320,1.184529
0.416049,0.763135,0.014241,0.000544,0.001536,0.001664,0.000352,1.204466
0.415697,0.746079,0.014561,0.000480,0.001536,0.000928,0.000320,1.186321
0.415441,0.747359,0.014304,0.000448,0.001504,0.000961,0.000320,1.186417
0.417586,0.765983,0.014273,0.000448,0.001408,0.000992,0.000320,1.208562
0.415570,0.750975,0.014560,0.000512,0.001472,0.000992,0.000321,1.190418
0.417137,0.737182,0.014209,0.000448,0.001440,0.000896,0.000320,1.177777
0.416369,0.787841,0.014017,0.000416,0.001472,0.001088,0.000352,1.228115
0.416177,0.754591,0.014689,0.000448,0.001536,0.000992,0.000352,1.196369
0.416049,0.751198,0.014976,0.000480,0.001632,0.000928,0.000288,1.192049
0.435634,0.762912,0.014336,0.000448,0.001729,0.000992,0.000352,1.222643
0.417009,0.753472,0.014080,0.000416,0.001440,0.000864,0.000320,1.193649
0.417297,0.776544,0.014657,0.000448,0.001472,0.001056,0.000352,1.218066
0.415761,0.744223,0.014336,0.000480,0.001440,0.001024,0.000352,1.184528
0.415282,0.752671,0.014208,0.000448,0.001472,0.001057,0.000320,1.191986
0.416465,0.814593,0.015329,0.000480,0.001536,0.000960,0.000352,1.256756
0.416017,0.778656,0.014304,0.000384,0.001696,0.001504,0.000352,1.219058
0.415953,0.746847,0.014560,0.000512,0.001728,0.000992,0.000320,1.187601
0.416945,0.780257,0.014656,0.000480,0.001856,0.001088,0.000352,1.223347
0.415985,0.755071,0.014848,0.000480,0.001792,0.001056,0.000320,1.196305
0.416561,0.742431,0.014432,0.000416,0.001920,0.001376,0.000352,1.183601
0.435154,0.755487,0.014305,0.000448,0.001536,0.000992,0.000320,1.214674
0.416433,0.789536,0.015169,0.000448,0.001440,0.001024,0.000352,1.230931
0.416081,0.758847,0.015969,0.000480,0.001536,0.001056,0.000352,1.200305
0.427602,0.787649,0.014208,0.000480,0.001824,0.000992,0.000320,1.239411
0.415729,0.752927,0.014273,0.000480,0.001440,0.001088,0.000320,1.192945
0.416337,0.772672,0.014753,0.000480,0.001504,0.001024,0.000352,1.213938
0.416082,0.769023,0.014241,0.000416,0.001472,0.000960,0.000320,1.208562
0.416241,0.752959,0.014401,0.000448,0.001472,0.001024,0.000352,1.194545
0.415570,0.773824,0.014752,0.000384,0.001792,0.001120,0.000352,1.214258
0.415729,0.743071,0.014304,0.000512,0.001408,0.001057,0.000384,1.182513
0.415889,0.751743,0.014112,0.000512,0.001792,0.001152,0.000320,1.192177
