label,mean,max,min,std,count
REE[187],1.590385632,2.0369650000000004,1.57711,0.019620935155311665,1000
TEE[188],3.196413875,3.262063,3.158219,0.015808978950546868,1000
REE[188],1.6092664460000001,2.101512,1.595734,0.020971987570321843,1000
TEE[189],3.2479597570000007,3.3009129999999995,3.207725,0.01762025292812797,1000
REE[189],1.6241822550000002,2.084551,1.610391,0.020528641927350093,1000
REE[190],1.6421370109999998,2.116968,1.628599,0.021056417858456095,1000
TEE[190],3.247360972,3.328689,3.2193099999999997,0.013630541685709404,1000
TEE[191],3.3115462150000003,3.3636660000000003,3.27736,0.012242243723278637,1000
REE[191],1.659290479,2.1214169999999997,1.6459759999999999,0.020871118161633694,1000
REE[192],1.677630017,2.150537,1.662552,0.02103968523442008,1000
TEE[192],3.321533617,3.3800190000000003,3.2915349999999997,0.014206726731542912,1000
REE[193],1.694992377,2.190987,1.6798970000000002,0.0217819897701109,1000
TEE[193],3.368995697,3.4160839999999997,3.344722,0.01286998939059798,1000
TEE[194],3.3971619769999997,3.509143,3.355858,0.017978716192776682,1000
REE[194],1.7130547409999999,2.18145,1.69849,0.02084904006916684,1000
REE[195],1.730454196,2.225387,1.715354,0.02205488403885977,1000
TEE[195],3.435844413,3.4984230000000003,3.41234,0.011736814963179366,1000
REE[196],1.750914923,2.305774,1.736443,0.023219081207903346,1000
TEE[196],3.459589149,3.542361,3.432469,0.011356273485711815,1000
REE[197],1.7670718650000001,2.318863,1.7518029999999998,0.023358689674339118,1000
TEE[197],3.514787037,3.5739129999999997,3.4847580000000002,0.014128083772781143,1000
REE[198],1.785099219,2.288846,1.7693720000000002,0.02225673568667394,1000
TEE[198],3.5371923420000004,3.7151339999999995,3.504919,0.021725977719930647,1000
TEE[199],3.5895644279999996,3.645628,3.555801,0.015570393612046228,1000
REE[199],1.8032280310000002,2.388529,1.7880919999999998,0.024845921049154535,1000
REE[200],1.822901476,2.39989,1.80723,0.02442228496497276,1000
TEE[200],3.594960352,3.6580760000000003,3.571065,0.011356534748310587,1000
REE[201],1.8399402580000002,2.3559200000000002,1.82355,0.02301052905430023,1000
TEE[201],3.6544807200000005,3.711294,3.626523,0.01441307929056924,1000
TEE[202],3.671196524,3.7201910000000002,3.6450839999999998,0.011531008926902127,1000
REE[202],1.8581534320000002,2.394225,1.8421740000000002,0.023887458003086587,1000
TEE[203],3.7362328710000003,3.791265,3.700158,0.014327412369774688,1000
REE[203],1.877034189,2.4420669999999998,1.861663,0.024325044686501183,1000
TEE[204],3.752984458,3.806465,3.7168629999999996,0.01588776801689888,1000
REE[204],1.897513046,2.4620029999999997,1.880352,0.02454046079183843,1000
TEE[205],3.794147654,3.848035,3.772128,0.009108441565934539,1000
REE[205],1.914075566,2.507829,1.8976959999999998,0.02518541404349324,1000
TEE[206],3.829941534,3.900324,3.7948809999999997,0.013995617998359347,1000
REE[206],1.933886477,2.568216,1.917377,0.026772133205290784,1000
TEE[207],3.891209436,3.9571910000000003,3.854403,0.016668263993723776,1000
REE[207],1.951872274,2.535575,1.934306,0.026071604581505498,1000
REE[208],1.972661938,2.551894,1.95629,0.025565302059971314,1000
TEE[208],3.891622675,3.940837,3.8643870000000002,0.011941481068673545,1000
TEE[209],3.968856782,4.032329,3.922885,0.016609675968852194,1000
REE[209],1.990499805,2.5657509999999997,1.973699,0.024843870879983177,1000
REE[210],2.008678431,2.647418,1.9920669999999998,0.026776698059510797,1000
TEE[210],3.983327412,4.130381,3.9466940000000004,0.021925351557071034,1000
TEE[211],4.024696529,4.083722,4.007592,0.01015227173525935,1000
REE[211],2.028050925,2.670107,2.013477,0.027520667185402754,1000
TEE[212],4.056557163000001,4.109548,4.024937,0.017435675819242113,1000
REE[212],2.0506746620000005,2.660634,2.0332529999999998,0.02661074995145261,1000
TEE[213],4.102270909,4.195406,4.083627,0.01291651796697198,1000
REE[213],2.0658784999999997,2.706972,2.050246,0.027895119092220578,1000
TEE[214],4.11585793,4.175438,4.0948910000000005,0.011687249134309886,1000
REE[214],2.0866947920000003,2.7272279999999998,2.070727,0.027731120036038732,1000
TEE[215],4.195997154,4.277906,4.160845,0.019644783629302887,1000
REE[215],2.106498046,2.711548,2.089127,0.026475080174687672,1000
REE[216],2.127690958,2.7215,2.110888,0.02635314216700373,1000
TEE[216],4.207008291,4.266513,4.1769099999999995,0.014679030808530825,1000
TEE[217],4.273747387999999,4.3714129999999995,4.23864,0.01925424613324593,1000
REE[217],2.146493372,2.784543,2.127912,0.027525640388816216,1000
REE[218],2.166061781,2.853345,2.1490970000000003,0.02845660344838888,1000
TEE[218],4.281944158,4.341876,4.257457,0.016757032824582033,1000
TEE[219],4.334128870999999,4.39759,4.314931,0.014646173236474826,1000
REE[219],2.185745494,2.832096,2.1676900000000003,0.027851921911281382,1000
REE[220],2.2085654089999998,2.9259560000000002,2.1896419999999996,0.029597906106540898,1000
TEE[220],4.355169829,4.406326,4.334868,0.011094815102917517,1000
TEE[221],4.408694813,4.466552,4.392629,0.011272142001204834,1000
REE[221],2.2263941089999997,2.899938,2.208875,0.028258404444994698,1000
REE[222],2.2467474320000003,2.974533,2.229835,0.03011233796098956,1000
TEE[222],4.443417268,4.543707,4.407573999999999,0.01827666812901284,1000
REE[223],2.267798753,2.963013,2.251757,0.029637451340152908,1000
TEE[223],4.502536212,4.557339,4.473944,0.014938454120107431,1000
REE[224],2.289665112,2.95514,2.270861,0.029067519961843813,1000
TEE[224],4.512505064999999,4.580603,4.491993,0.015854392351194055,1000
REE[225],2.30834843,3.013447,2.289966,0.029743802205884226,1000
TEE[225],4.581412849,4.641182,4.552891000000001,0.01639040685532493,1000
TEE[226],4.6117572099999995,4.724705,4.572955,0.019329231281813714,1000
REE[226],2.328756889,3.079369,2.3104139999999997,0.031140802027815762,1000
TEE[227],4.651253058,4.76221,4.634589,0.011352254544533438,1000
REE[227],2.350570627,3.083689,2.3311509999999998,0.030851626994602498,1000
TEE[228],4.673386778999999,4.73264,4.651934,0.01222841514707315,1000
